controllers.TD.ntuple.TDNTupleAgt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, learnFromRM: false

run, gameNum, evalQ, evalT, evalM
0, 500, -0.2, 0.293096370494502, 0.7949999999999999
0, 1000, -0.05, 0.3621148857615372, 0.765
0, 1500, -0.35, 0.3266121125253766, 0.835
0, 2000, -0.3, 0.3269367277088522, 0.8049999999999999
0, 2500, -0.1, 0.3558458792373336, 0.81
0, 3000, -0.1, 0.3191064866773513, 0.845
0, 3500, -0.45, 0.31875440338977246, 0.705
0, 4000, 0.0, 0.3501582292018849, 0.88
0, 4500, 0.0, 0.3525740020204126, 0.865
0, 5000, 0.0, 0.3529767641216673, 0.78
0, 5500, 0.0, 0.35363449189163104, 0.8999999999999999
0, 6000, 0.0, 0.3522215478530001, 0.8999999999999999
0, 6500, 0.0, 0.35446953083080124, 0.905
0, 7000, 0.0, 0.3555806793742968, 0.89
0, 7500, 0.0, 0.35728106471593213, 0.95
0, 8000, 0.0, 0.3578307862606017, 0.925
0, 8500, 0.0, 0.3574688279464598, 0.925
0, 9000, 0.0, 0.3577883810034008, 0.8999999999999999
0, 9500, 0.0, 0.3577609521772406, 0.9550000000000001
0, 10000, 0.0, 0.3578594122944701, 0.915
1, 500, -0.2, 0.3280332965645737, 0.79
1, 1000, -0.05, 0.3619644773449684, 0.875
1, 1500, -0.4, 0.327723150031674, 0.8049999999999999
1, 2000, -0.35, 0.32700094252981016, 0.8099999999999999
1, 2500, -0.35, 0.32655225763691625, 0.74
1, 3000, -0.15, 0.3562103112820625, 0.825
1, 3500, -0.4, 0.32336577087535007, 0.72
1, 4000, -0.15, 0.3560794488688275, 0.855
1, 4500, 0.0, 0.3568027166742607, 0.915
1, 5000, 0.0, 0.3573927629811797, 0.8999999999999999
1, 5500, 0.0, 0.35688128115804596, 0.9099999999999999
1, 6000, 0.0, 0.35789377573942405, 0.9299999999999999
1, 6500, 0.0, 0.3582688567545672, 0.95
1, 7000, 0.0, 0.3581756228433505, 0.95
1, 7500, 0.0, 0.3587096469168134, 0.9550000000000001
1, 8000, 0.0, 0.35851590886002127, 0.94
1, 8500, 0.0, 0.3587900314073523, 0.935
1, 9000, -0.25, 0.3586237602320835, 0.9450000000000001
1, 9500, -0.2, 0.3586756694347566, 0.935
1, 10000, -0.25, 0.3585484693633891, 0.95
2, 500, -0.55, 0.36130142215277306, 0.835
2, 1000, -0.55, 0.32797150472515424, 0.755
2, 1500, -0.4, 0.326713456607886, 0.815
2, 2000, -0.35, 0.3262678303636585, 0.815
2, 2500, -0.1, 0.3587201434127604, 0.885
2, 3000, -0.15, 0.35378542535925955, 0.885
2, 3500, 0.0, 0.3516417670815486, 0.88
2, 4000, 0.0, 0.3547634855210636, 0.8600000000000001
2, 4500, 0.0, 0.353054663238201, 0.885
2, 5000, -0.05, 0.3177800390247052, 0.855
2, 5500, 0.0, 0.35216939747425124, 0.91
