TDNTuple4Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:4, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.2->0.1, gamma: 1.0, random 100 7-tuple, evalQ: 9, evalT: 10
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, time, user2
0, 92000, 0.9999999999999999, 0.7, 5594902, 5502902, 2198.543, 2544.822639357065, 0.0, 0.0
0, 94000, 0.7999999999999999, 0.9999999999999999, 5716463, 5622463, 2249.028, 2541.748257469449, 0.0, 0.0
0, 96000, 0.7, 0.8999999999999999, 5838238, 5742238, 2298.425, 2540.103766709812, 0.0, 0.0
0, 98000, 0.9999999999999999, 0.1, 5960088, 5862088, 2347.928, 2538.4458126484287, 0.0, 0.0
0, 100000, 0.9999999999999999, 0.49999999999999994, 6081735, 5981735, 2397.262, 2536.950487681363, 0.0, 0.0
0, 102000, 0.49999999999999994, 0.8499999999999999, 6203443, 6101443, 2447.086, 2535.0326878581304, 0.0, 0.0
0, 104000, 0.7999999999999999, 0.9999999999999999, 6325221, 6221221, 2496.885, 2533.2448230495193, 0.0, 0.0
0, 106000, 0.9999999999999999, 0.9999999999999999, 6446907, 6340907, 2546.735, 2531.4400595271986, 0.0, 0.0
0, 108000, 0.29999999999999993, 0.9999999999999999, 6568544, 6460544, 2595.852, 2530.400038214814, 0.0, 0.0
0, 110000, 0.9999999999999999, 0.9999999999999999, 6690302, 6580302, 2645.589, 2528.851609225772, 0.0, 0.0
0, 112000, 0.9999999999999999, 0.8999999999999999, 6811962, 6699962, 2695.071, 2527.563095740335, 0.0, 0.0
0, 114000, 0.9999999999999999, 0.9999999999999999, 6933692, 6819692, 2744.936, 2525.994048677273, 0.0, 0.0
0, 116000, 0.9999999999999999, 0.9999999999999999, 7055357, 6939357, 2794.558, 2524.6772477078666, 0.0, 0.0
0, 118000, 0.9999999999999999, 0.6, 7176755, 7058755, 2844.38, 2523.135094466984, 0.0, 0.0
0, 120000, 0.9999999999999999, 0.9999999999999999, 7298359, 7178359, 2894.727, 2521.2598631926257, 0.0, 0.0
0, 122000, 0.9999999999999999, 0.9999999999999999, 7419841, 7297841, 2944.776, 2519.6622765195043, 0.0, 0.0
0, 124000, 0.9999999999999999, 0.6, 7541456, 7417456, 2994.454, 2518.474486500711, 0.0, 0.0
0, 126000, 0.9999999999999999, 0.9999999999999999, 7663153, 7537153, 3044.375, 2517.1514678710737, 0.0, 0.0
0, 128000, 0.9999999999999999, 0.9999999999999999, 7784939, 7656939, 3094.745, 2515.534882518592, 0.0, 0.0
0, 130000, 0.9999999999999999, 0.9999999999999999, 7906550, 7776550, 3144.883, 2514.0998886127086, 0.0, 0.0
0, 132000, 0.9999999999999999, 0.9999999999999999, 8028194, 7896194, 3195.558, 2512.2980086732896, 0.0, 0.0
0, 134000, 0.9999999999999999, 0.7, 8149986, 8015986, 3245.486, 2511.1758300605825, 0.0, 0.0
0, 136000, 0.9999999999999999, 0.9999999999999999, 8271620, 8135620, 3296.896, 2508.911412431572, 0.0, 0.0
0, 138000, 0.9999999999999999, 0.9999999999999999, 8393380, 8255380, 3346.94, 2507.7772532522245, 0.0, 0.0
0, 140000, 0.9999999999999999, 0.9999999999999999, 8515179, 8375179, 3397.079, 2506.6178914296665, 0.0, 0.0
0, 142000, 0.8999999999999999, 0.8999999999999999, 8636996, 8494996, 3446.885, 2505.7395300394414, 0.0, 0.0
0, 144000, 0.95, 0.9999999999999999, 8758627, 8614627, 3496.49, 2504.976991211186, 0.0, 0.0
0, 146000, 0.9999999999999999, 0.7, 8880328, 8734328, 3546.802, 2503.7563416283174, 0.0, 0.0
0, 148000, 0.7999999999999999, 0.9999999999999999, 9002034, 8854034, 3596.811, 2502.7820477639775, 0.0, 0.0
0, 150000, 0.9999999999999999, 0.9999999999999999, 9123745, 8973745, 3646.79, 2501.8564271592277, 0.0, 0.0
0, 152000, 0.9999999999999999, 0.9999999999999999, 9245507, 9093507, 3697.015, 2500.8032155671535, 0.0, 0.0
0, 154000, 0.9999999999999999, 0.9999999999999999, 9367009, 9213009, 3747.046, 2499.8382726019377, 0.0, 0.0
0, 156000, 0.9999999999999999, 0.9999999999999999, 9488727, 9332727, 3797.247, 2498.8437676032136, 0.0, 0.0
0, 158000, 0.9999999999999999, 0.8499999999999999, 9610410, 9452410, 3847.549, 2497.8005478292803, 0.0, 0.0
0, 160000, 0.9999999999999999, 0.7, 9732145, 9572145, 3898.162, 2496.5983968855066, 0.0, 0.0
0, 162000, 0.9999999999999999, 0.0, 9853919, 9691919, 3948.633, 2495.526679739545, 0.0, 0.0
0, 164000, 0.9999999999999999, 0.6, 9975650, 9811650, 4000.884, 2493.3614671157675, 0.0, 0.0
0, 166000, 0.9999999999999999, 0.49999999999999994, 10097364, 9931364, 4052.231, 2491.803650877751, 0.0, 0.0
0, 168000, 0.9999999999999999, 0.8499999999999999, 10219102, 10051102, 4109.595, 2486.644547698739, 0.0, 0.0
0, 170000, 0.9999999999999999, 0.9999999999999999, 10340787, 10170787, 4161.728, 2484.7339854983315, 0.0, 0.0
0, 172000, 0.9999999999999999, 0.8999999999999999, 10462557, 10290557, 4215.96, 2481.6547120940427, 0.0, 0.0
0, 174000, 0.9999999999999999, 0.9999999999999999, 10584305, 10410305, 4267.515, 2480.203350193262, 0.0, 0.0
0, 176000, 0.9999999999999999, 0.9999999999999999, 10706121, 10530121, 4319.413, 2478.6055420030457, 0.0, 0.0
0, 178000, 0.9999999999999999, 0.9999999999999999, 10827924, 10649924, 4370.945, 2477.25011410576, 0.0, 0.0
0, 180000, 0.6, 0.9999999999999999, 10949659, 10769659, 4422.567, 2475.8605126841494, 0.0, 0.0
0, 182000, 0.9999999999999999, 0.9999999999999999, 11071309, 10889309, 4476.897, 2472.9872052003875, 0.0, 0.0
0, 184000, 0.39999999999999997, 0.9999999999999999, 11192986, 11008986, 4528.385, 2471.739041623007, 0.0, 0.0
0, 186000, 0.9999999999999999, 0.9999999999999999, 11314461, 11128461, 4579.182, 2470.8476317385944, 0.0, 0.0
0, 188000, 0.9999999999999999, 0.9999999999999999, 11436123, 11248123, 4630.963, 2469.4913347396646, 0.0, 0.0
0, 190000, 0.9999999999999999, 0.9999999999999999, 11557845, 11367845, 4682.481, 2468.316475816987, 0.0, 0.0
0, 192000, 0.9999999999999999, 0.9999999999999999, 11679647, 11487647, 4735.852, 2466.2187500791833, 0.0, 0.0
0, 194000, 0.9999999999999999, 0.8999999999999999, 11801418, 11607418, 4788.6, 2464.481894499436, 0.0, 0.0
0, 196000, 0.9999999999999999, 0.8999999999999999, 11923266, 11727266, 4840.46, 2463.2506001495726, 0.0, 0.0
0, 198000, 0.9999999999999999, 0.8999999999999999, 12044791, 11846791, 4890.718, 2462.7858322643015, 0.0, 0.0
0, 200000, 0.9999999999999999, 0.8999999999999999, 12166605, 11966605, 4941.261, 2462.246985131933, 0.0, 0.0
0, 202000, 0.14999999999999997, 0.9999999999999999, 12288337, 12086337, 4992.084, 2461.5645489939675, 0.0, 0.0
0, 204000, 0.7, 0.8999999999999999, 12410167, 12206167, 5043.029, 2460.855767436594, 0.0, 0.0
0, 206000, 0.9999999999999999, 0.49999999999999994, 12531723, 12325723, 5095.17, 2459.52990773615, 0.0, 0.0
0, 208000, 0.9999999999999999, 0.9999999999999999, 12653489, 12445489, 5145.874, 2458.958186694816, 0.0, 0.0
0, 210000, 0.9999999999999999, 0.9999999999999999, 12775265, 12565265, 5196.514, 2458.429824301445, 0.0, 0.0
0, 212000, 0.9999999999999999, 0.9999999999999999, 12896937, 12684937, 5247.531, 2457.7152569465525, 0.0, 0.0
0, 214000, 0.7999999999999999, 0.9999999999999999, 13018584, 12804584, 5298.345, 2457.1038692270886, 0.0, 0.0
0, 216000, 0.9999999999999999, 0.6, 13140329, 12924329, 5349.107, 2456.5462982886675, 0.0, 0.0
0, 218000, 0.9999999999999999, 0.8999999999999999, 13262144, 13044144, 5401.701, 2455.179211141083, 0.0, 0.0
0, 220000, 0.9999999999999999, 0.9999999999999999, 13384019, 13164019, 5453.081, 2454.395781027276, 0.0, 0.0
0, 222000, 0.9999999999999999, 0.9999999999999999, 13505907, 13283907, 5503.648, 2453.991788719046, 0.0, 0.0
0, 224000, 0.9999999999999999, 0.9999999999999999, 13627751, 13403751, 5554.402, 2453.5046257004806, 0.0, 0.0
0, 226000, 0.9999999999999999, 0.8999999999999999, 13749500, 13523500, 5606.095, 2452.598466490489, 0.0, 0.0
0, 228000, 0.9999999999999999, 0.8499999999999999, 13870917, 13642917, 5659.243, 2451.0198625505213, 0.0, 0.0
0, 230000, 0.9999999999999999, 0.8999999999999999, 13992569, 13762569, 5710.391, 2450.3696857185437, 0.0, 0.0
0, 232000, 0.49999999999999994, 0.8999999999999999, 14114107, 13882107, 5761.38, 2449.7788724229263, 0.0, 0.0
0, 234000, 0.19999999999999996, 0.9999999999999999, 14235955, 14001955, 5812.976, 2448.9960048002954, 0.0, 0.0
0, 236000, 0.9999999999999999, 0.8999999999999999, 14357780, 14121780, 5879.17, 2442.1440441422856, 0.0, 0.0
0, 238000, 0.7, 0.8999999999999999, 14479453, 14241453, 5930.435, 2441.5499031689915, 0.0, 0.0
0, 240000, 0.9999999999999999, 0.7, 14600948, 14360948, 5982.165, 2440.746452162386, 0.0, 0.0
0, 242000, 0.9999999999999999, 0.9999999999999999, 14722677, 14480677, 6033.897, 2439.9947496617856, 0.0, 0.0
0, 244000, 0.0, 0.7, 14844495, 14600495, 6085.593, 2439.284881522639, 0.0, 0.0
0, 246000, 0.49999999999999994, 0.29999999999999993, 14966211, 14720211, 6136.517, 2438.87713502627, 0.0, 0.0
0, 248000, 0.9999999999999999, 0.9999999999999999, 15087769, 14839769, 6188.572, 2438.0049226218907, 0.0, 0.0
0, 250000, 0.19999999999999996, 0.9999999999999999, 15209557, 14959557, 6240.104, 2437.388383270535, 0.0, 0.0
