TDNTuple3Agt: USESYM:true; P:4; NORMALIZE:false; sigmoid:tanh; lambda:0.5; horizon:7; AFTERSTATE:false; learnFromRM: false
TDNTuple3Agt: alpha_init->final:0.2->0.2; epsilon_init->final:0.2->0.2; gamma: 1.0; random 50 6-tuple
run; gameNum; evalQ; evalT; actionNum; trnMoves; elapsedTime; movesSecond;P ; N
0; 2000; -0.30000000000000004; -0.8; 97149; 117795; 41.968; 2314.835112466641; 3; 0.0
0; 4000; -0.9; -0.44999999999999996; 194408; 235981; 85.183; 2282.2394139675757; 3; 0.0
0; 6000; 0.14999999999999997; 0.4; 291429; 353543; 126.622; 2301.5668683167223; 3; 0.0
0; 8000; -0.19999999999999996; -0.7; 389647; 472795; 168.092; 2318.057968255479; 3; 0.0
0; 10000; 0.0; -0.2; 487736; 591897; 210.323; 2318.9855603048645; 3; 0.0
0; 12000; 0.4; 0.19999999999999996; 584356; 709189; 254.294; 2297.9543363193784; 3; 0.0
0; 14000; 0.7; 0.9; 682499; 828084; 297.151; 2296.8086932233105; 3; 0.0
0; 16000; 0.39999999999999997; 0.5; 781125; 947751; 339.941; 2297.8252108454117; 3; 0.0
0; 18000; 0.9; 0.9; 878999; 1066676; 383.199; 2293.8447125383937; 3; 0.0
0; 20000; 0.8; 0.5; 977262; 1185805; 425.383; 2297.3696645140967; 3; 0.0
0; 22000; 0.1; 0.4; 1075000; 1304429; 467.213; 2300.8777581103263; 3; 0.0
0; 24000; 0.35000000000000003; 0.5; 1173249; 1423840; 509.424; 2303.089371525488; 3; 0.0
0; 26000; 1.0; 0.8; 1271474; 1543315; 553.085; 2298.876302919081; 3; 0.0
0; 28000; 0.6000000000000001; 0.65; 1369720; 1662891; 596.333; 2296.9045818359878; 3; 0.0
0; 30000; 1.0; 0.8; 1467813; 1782147; 639.027; 2296.9498941359284; 3; 0.0
0; 32000; 0.5; 0.9; 1566450; 1901729; 682.32; 2295.770313049595; 3; 0.0
0; 34000; 1.0; 1.0; 1664648; 2020824; 727.032; 2289.64887377722; 3; 0.0
0; 36000; 1.0; 0.9; 1762967; 2140315; 770.327; 2288.5956223785483; 3; 0.0
0; 38000; 0.6000000000000001; 0.65; 1861435; 2259779; 813.031; 2289.5006463468185; 3; 0.0
0; 40000; 0.65; 0.8; 1959787; 2379390; 857.067; 2286.6205325838005; 3; 0.0
0; 42000; 0.95; 0.95; 2058185; 2498980; 899.781; 2287.428829904166; 3; 0.0
0; 44000; 1.0; 1.0; 2156398; 2618412; 942.691; 2287.491871673751; 3; 0.0
0; 46000; 0.9; 1.0; 2254845; 2738001; 985.17; 2288.7877219160146; 3; 0.0
0; 48000; 1.0; 1.0; 2353025; 2857470; 1029.636; 2285.297911106449; 3; 0.0
0; 50000; 1.0; 0.75; 2451547; 2977167; 1072.248; 2286.3619237340613; 3; 0.0
0; 52000; 0.95; 0.65; 2550129; 3096780; 1114.954; 2287.205570812787; 3; 0.0
0; 54000; 0.20000000000000004; 0.09999999999999998; 2648724; 3216402; 1158.429; 2286.4793612728963; 3; 0.0
0; 56000; 0.95; 1.0; 2747193; 3336101; 1202.172; 2285.19130374023; 3; 0.0
0; 58000; 0.95; 0.8500000000000001; 2845975; 3455821; 1245.26; 2285.4464127973274; 3; 0.0
0; 60000; 0.5; 0.7000000000000001; 2944730; 3575488; 1287.768; 2286.692944691901; 3; 0.0
0; 62000; 0.9; 0.9; 3043496; 3695252; 1332.612; 2283.8575669437164; 3; 0.0
0; 64000; 1.0; 1.0; 3142068; 3814861; 1375.506; 2284.2997413315534; 3; 0.0
0; 66000; 0.9; 0.9; 3240463; 3934526; 1418.055; 2285.14620377912; 3; 0.0
0; 68000; 1.0; 0.8500000000000001; 3338998; 4054174; 1460.781; 2285.7622052860766; 3; 0.0
0; 70000; 1.0; 1.0; 3437607; 4173656; 1505.175; 2283.8586875280284; 3; 0.0
0; 72000; 0.8; 0.7; 3535921; 4293020; 1547.979; 2284.2176799556064; 3; 0.0
0; 74000; 0.7; 0.8; 3634503; 4412775; 1590.687; 2284.8637098310355; 3; 0.0
0; 76000; 0.6; 0.85; 3733165; 4532565; 1634.944; 2283.359552376106; 3; 0.0
