TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, user2
TCL4-p20-5000k-120-7t.agt.zip, 0, 1, 0, 1000, 1.0E-8, 0, 10.0, 0.17000000000000004, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 0.9299999999999999, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 0.6599999999999999, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 0.26, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 0.15500000000000003, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 0, 1.0E-8, 0, 10.0, 0.09999999999999998, 9.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 0.995, 5.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 0.96, 6.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 0.49, 7.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 0.17500000000000004, 8.0, 0.0
TCL4-p20-5000k-120-7t.agt.zip, 1, 1, 0, 100, 1.0E-8, 0, 10.0, 0.09499999999999997, 9.0, 0.0
