TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -0.04, rewPos: 1.0
agtFile; run; maxDepth; cubeSz; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.10499999999999998; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.985; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.86; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.5700000000000001; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.345; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.985; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.955; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.855; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.63; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.31499999999999995; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.99; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.775; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.47; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.26; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.13; 9.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.975; 5.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.785; 6.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.595; 7.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.31499999999999995; 8.0; 50.0
multiTrain2/TCL4-p9-ET13-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.16500000000000004; 9.0; 50.0
