controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:0, AFTERSTATE:true, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.2->0.1, epsilon_init->final:0.0->0.0
run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
5, 1000, 19006.52, 0.0, 0.0, 766149, 766149
5, 1500, 22151.7304, 0.0, 0.0, 1278229, 1278229
5, 2000, 22983.674608, 0.0, 0.0, 1886830, 1886830
5, 2500, 26734.39349216, 0.0, 0.0, 2523353, 2523353
5, 3000, 26000.687869843197, 0.0, 0.0, 3216043, 3216043
5, 3500, 27918.413757396862, 0.0, 0.0, 3889364, 3889364
5, 4000, 29881.648275147938, 0.0, 0.0, 4593933, 4593933
5, 4500, 29303.392965502957, 0.0, 0.0, 5311792, 5311792
5, 5000, 30103.74785931006, 0.0, 0.0, 6071614, 6071614
5, 5500, 35632.9549571862, 0.0, 0.0, 6829647, 6829647
5, 6000, 30913.779099143725, 0.0, 0.0, 7639466, 7639466
5, 6500, 36199.39558198287, 0.0, 0.0, 8459281, 8459281
5, 7000, 30094.547911639656, 0.0, 0.0, 9283631, 9283631
5, 7500, 35816.69095823279, 0.0, 0.0, 10135771, 10135771
5, 8000, 36533.45381916466, 0.0, 0.0, 11005176, 11005176
5, 8500, 32793.46907638329, 0.0, 0.0, 11848220, 11848220
5, 9000, 33051.229381527664, 0.0, 0.0, 12713250, 12713250
5, 9500, 35402.86458763055, 0.0, 0.0, 13583387, 13583387
5, 10000, 37685.417291752616, 0.0, 0.0, 14490341, 14490341
6, 500, 13813.84, 0.0, 0.0, 332214, 332214
6, 1000, 18352.4368, 0.0, 0.0, 786300, 786300
6, 1500, 21387.128736, 0.0, 0.0, 1327440, 1327440
6, 2000, 22844.94257472, 0.0, 0.0, 1909526, 1909526
6, 2500, 22323.8588514944, 0.0, 0.0, 2549682, 2549682
6, 3000, 22615.437177029886, 0.0, 0.0, 3217897, 3217897
6, 3500, 24158.468743540598, 0.0, 0.0, 3906159, 3906159
6, 4000, 28588.449374870812, 0.0, 0.0, 4599268, 4599268
6, 4500, 31412.168987497418, 0.0, 0.0, 5317463, 5317463
6, 5000, 29819.123379749948, 0.0, 0.0, 6062768, 6062768
6, 5500, 31967.662467595, 0.0, 0.0, 6836535, 6836535
6, 6000, 31621.193249351898, 0.0, 0.0, 7612147, 7612147
6, 6500, 28989.543864987038, 0.0, 0.0, 8439211, 8439211
6, 7000, 33627.87087729974, 0.0, 0.0, 9243682, 9243682
6, 7500, 33114.157417546, 0.0, 0.0, 10092176, 10092176
6, 8000, 31779.32314835092, 0.0, 0.0, 10950605, 10950605
6, 8500, 37539.10646296702, 0.0, 0.0, 11811150, 11811150
6, 9000, 32092.062129259342, 0.0, 0.0, 12675587, 12675587
6, 9500, 34837.121242585185, 0.0, 0.0, 13516846, 13516846
6, 10000, 38429.702424851705, 0.0, 0.0, 14407890, 14407890
7, 500, 13303.2, 0.0, 0.0, 337676, 337676
7, 1000, 16573.264, 0.0, 0.0, 822905, 822905
7, 1500, 23595.78528, 0.0, 0.0, 1394042, 1394042
7, 2000, 22376.7157056, 0.0, 0.0, 2030805, 2030805
7, 2500, 21416.494314112002, 0.0, 0.0, 2688274, 2688274
7, 3000, 25075.04988628224, 0.0, 0.0, 3344631, 3344631
