P0: controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:true, learnFromRM: false
P0: controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:1.0->1.0, epsilon_init->final:0.0->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=2
Start state = 0001000000000100
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 117, 0, 1, +1260.00, 6, 796, 128
1, 118, 0, 0, +1268.00, 6, 802, 128
1, 119, 0, 3, +1268.00, 5, 807, 128
1, 120, 0, 0, +1284.00, 5, 812, 128
1, 121, 0, 3, +1320.00, 6, 818, 128
1, 122, 0, 0, +1328.00, 6, 824, 128
1, 123, 0, 3, +1332.00, 6, 830, 128
1, 124, 0, 3, +1344.00, 7, 837, 128
1, 125, 0, 3, +1344.00, 6, 843, 128
1, 126, 0, 0, +1360.00, 6, 849, 128
1, 127, 0, 3, +1364.00, 6, 855, 128
1, 128, 0, 0, +1396.00, 6, 861, 128
1, 129, 0, 3, +1400.00, 6, 867, 128
1, 130, 0, 3, +1400.00, 5, 872, 128
1, 131, 0, 0, +1408.00, 5, 877, 128
1, 132, 0, 1, +1408.00, 4, 881, 128
1, 133, 0, 0, +1420.00, 5, 886, 128
1, 134, 0, 1, +1424.00, 5, 891, 128
1, 135, 0, 3, +1428.00, 5, 896, 128
1, 136, 0, 3, +1436.00, 5, 901, 128
1, 137, 0, 0, +1452.00, 5, 906, 128
1, 138, 0, 3, +1452.00, 4, 910, 128
1, 139, 0, 0, +1456.00, 4, 914, 128
1, 140, 0, 0, +1456.00, 3, 917, 128
1, 141, 0, 0, +1456.00, 2, 919, 128
1, 142, 0, 3, +1472.00, 4, 923, 128
1, 143, 0, 0, +1480.00, 4, 927, 128
1, 144, 0, 3, +1496.00, 4, 931, 128
1, 145, 0, 0, +1528.00, 4, 935, 128
1, 146, 0, 3, +1604.00, 6, 941, 128
1, 147, 0, 0, +1604.00, 5, 946, 128
