controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:0, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:0.5->0.5, epsilon_init->final:1.3->0.0
run, gameNum, evalT, evalQ, evalM, actionNum, trnMoves
4, 85000, 1.0, 1.0, 0.0, 343073, 977189
4, 90000, 1.0, 1.0, 0.0, 385616, 1022071
4, 95000, 1.0, 1.0, 0.0, 427970, 1063457
4, 100000, 1.0, 1.0, 0.0, 470821, 1102629
5, 5000, 0.0, 0.0, 0.0, 5000, 64975
5, 10000, 0.0, 0.0, 0.0, 10000, 129875
5, 15000, 0.0, 0.0, 0.0, 15000, 194574
5, 20000, 0.0, 0.0, 0.0, 20000, 259481
5, 25000, 0.0, 0.0, 0.0, 25316, 324355
5, 30000, 0.25, 0.6666666666666666, 0.0, 33901, 387511
5, 35000, 0.5833333333333333, 1.0, 0.0, 46334, 448706
5, 40000, 0.75, 1.0, 0.0, 62345, 507952
5, 45000, 0.5833333333333333, 0.6666666666666666, 0.0, 81883, 565694
5, 50000, 1.0, 1.0, 0.0, 104868, 622083
5, 55000, 1.0, 1.0, 0.0, 131159, 677610
5, 60000, 1.0, 1.0, 0.0, 160409, 731661
5, 65000, 0.9166666666666666, 1.0, 0.0, 192631, 784923
5, 70000, 1.0, 1.0, 0.0, 227809, 836981
5, 75000, 0.9166666666666666, 1.0, 0.0, 265269, 887296
5, 80000, 1.0, 1.0, 0.0, 304946, 936209
5, 85000, 1.0, 1.0, 0.0, 347882, 985344
5, 90000, 1.0, 0.6666666666666666, 0.0, 392249, 1032580
5, 95000, 1.0, 0.3333333333333333, 0.0, 437481, 1077146
5, 100000, 0.9166666666666666, 1.0, 0.0, 480320, 1116284
6, 5000, 0.0, 0.0, 0.0, 5000, 64664
6, 10000, 0.0, 0.0, 0.0, 10000, 129397
6, 15000, 0.08333333333333333, 0.0, 0.0, 15000, 194340
6, 20000, 0.0, 0.0, 0.0, 20000, 259583
6, 25000, 0.0, 0.0, 0.0, 25310, 324316
6, 30000, 0.0, 0.0, 0.0, 34000, 387499
6, 35000, 0.6666666666666666, 1.0, 0.0, 46514, 448771
6, 40000, 0.75, 0.6666666666666666, 0.0, 62468, 508008
6, 45000, 0.9166666666666666, 1.0, 0.0, 81925, 565493
6, 50000, 1.0, 1.0, 0.0, 104778, 621864
6, 55000, 1.0, 1.0, 0.0, 130762, 676608
6, 60000, 0.9166666666666666, 0.6666666666666666, 0.0, 159993, 730765
6, 65000, 1.0, 1.0, 0.0, 192258, 783712
6, 70000, 1.0, 0.6666666666666666, 0.0, 226956, 834797
6, 75000, 1.0, 1.0, 0.0, 264917, 886024
6, 80000, 1.0, 0.6666666666666666, 0.0, 305632, 936285
6, 85000, 1.0, 1.0, 0.0, 349015, 986177
6, 90000, 1.0, 1.0, 0.0, 397115, 1037714
6, 95000, 0.9166666666666666, 0.6666666666666666, 0.0, 445800, 1086262
6, 100000, 0.8333333333333333, 1.0, 0.0, 497077, 1134099
7, 5000, 0.0, 0.0, 0.0, 5000, 64664
7, 10000, 0.0, 0.0, 0.0, 10000, 129450
7, 15000, 0.0, 0.0, 0.0, 15000, 194270
7, 20000, 0.0, 0.0, 0.0, 20000, 259229
