controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.16, horizon:3, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 5000, -1.0, -1.0, 93105, 93105
0, 10000, -0.90625, -0.975, 198619, 198619
0, 15000, -0.53125, -0.22499999999999998, 307219, 307219
0, 20000, -0.0625, 0.15000000000000002, 416941, 416941
0, 25000, -0.8125, -0.9, 537264, 537264
0, 30000, 0.03125, -0.875, 659826, 659826
0, 35000, -0.75, -0.55, 784636, 784636
0, 40000, -0.6875, -0.775, 908139, 908139
0, 45000, -0.0625, -0.825, 1033059, 1033059
0, 50000, 0.1875, -0.9, 1159521, 1159521
0, 55000, -0.53125, -0.22500000000000003, 1288283, 1288283
0, 60000, 0.1875, -0.9, 1415144, 1415144
0, 65000, 0.15625, -0.9, 1542896, 1542896
0, 70000, -0.03125, -0.825, 1667492, 1667492
0, 75000, -0.21875, 0.24999999999999994, 1797136, 1797136
0, 80000, -0.75, 0.325, 1935951, 1935951
0, 85000, 0.0, -0.17500000000000004, 2069208, 2069208
0, 90000, -0.21875, -0.825, 2199782, 2199782
0, 95000, -0.25, 0.10000000000000003, 2332638, 2332638
0, 100000, -0.03125, -0.7, 2467587, 2467587
0, 105000, -0.40625, -0.19999999999999996, 2600423, 2600423
0, 110000, -0.5625, -0.42500000000000004, 2729887, 2729887
0, 115000, -0.125, -0.9, 2858882, 2858882
0, 120000, -0.15625, -0.75, 2989799, 2989799
0, 125000, -0.1875, -0.39999999999999997, 3120841, 3120841
0, 130000, 0.09375, -0.875, 3252021, 3252021
0, 135000, -0.3125, -0.85, 3385495, 3385495
0, 140000, -0.34375, -0.775, 3517673, 3517673
0, 145000, -0.375, -0.825, 3651294, 3651294
0, 150000, 0.625, -0.8, 3784368, 3784368
0, 155000, 0.40625, -0.55, 3919326, 3919326
0, 160000, -0.09375, -0.825, 4050480, 4050480
0, 165000, 0.1875, 0.6, 4186382, 4186382
0, 170000, -0.4375, -0.29999999999999993, 4318120, 4318120
0, 175000, 0.3125, -0.625, 4454450, 4454450
0, 180000, 0.1875, -0.6, 4590450, 4590450
0, 185000, 0.125, -0.825, 4727774, 4727774
0, 190000, 0.34375, 0.375, 4865070, 4865070
0, 195000, 0.0, -0.85, 5001425, 5001425
0, 200000, 0.34375, -0.725, 5137893, 5137893
0, 205000, 0.21875, -0.025000000000000022, 5275999, 5275999
0, 210000, 0.21875, -0.825, 5414634, 5414634
0, 215000, 0.5, -0.95, 5554426, 5554426
0, 220000, 0.25, 0.275, 5692017, 5692017
0, 225000, 0.28125, 0.8500000000000001, 5828305, 5828305
0, 230000, 0.6875, 0.95, 5969280, 5969280
0, 235000, -0.125, -0.85, 6108289, 6108289
0, 240000, 0.125, -0.925, 6243726, 6243726
0, 245000, 0.03125, 0.75, 6378706, 6378706
0, 250000, 0.625, 0.6000000000000001, 6517395, 6517395
0, 255000, 0.21875, 0.525, 6654871, 6654871
0, 260000, 0.125, 0.6749999999999999, 6793085, 6793085
0, 265000, 0.0625, 0.375, 6932528, 6932528
0, 270000, 0.15625, 0.65, 7070281, 7070281
0, 275000, 0.53125, -0.25, 7211811, 7211811
0, 280000, 0.3125, -0.025000000000000022, 7351806, 7351806
0, 285000, 0.4375, 0.35, 7490770, 7490770
0, 290000, 0.375, 0.5, 7631970, 7631970
0, 295000, -0.4375, -0.875, 7767657, 7767657
0, 300000, 0.5625, 0.55, 7907610, 7907610
0, 305000, 0.5625, 0.6, 8048229, 8048229
0, 310000, -0.0625, -0.85, 8186785, 8186785
0, 315000, 0.125, -0.65, 8322867, 8322867
0, 320000, 0.0625, -0.825, 8463954, 8463954
0, 325000, 0.125, -0.775, 8597053, 8597053
0, 330000, 0.4375, -0.675, 8735442, 8735442
0, 335000, 0.59375, -0.725, 8867628, 8867628
0, 340000, 0.5, -0.22500000000000003, 9002592, 9002592
0, 345000, 0.4375, 0.8500000000000001, 9142947, 9142947
0, 350000, 0.5, -0.4, 9281937, 9281937
0, 355000, 0.53125, -0.9, 9421097, 9421097
0, 360000, 0.46875, -0.575, 9562703, 9562703
0, 365000, 0.53125, -0.25, 9700529, 9700529
0, 370000, -0.15625, -0.35, 9839661, 9839661
0, 375000, 0.5625, -0.85, 9978346, 9978346
0, 380000, 0.28125, -0.75, 10117250, 10117250
0, 385000, 0.53125, -0.775, 10256898, 10256898
0, 390000, 0.5, 0.7749999999999999, 10395312, 10395312
0, 395000, 0.59375, -0.75, 10534586, 10534586
0, 400000, 0.71875, 0.6000000000000001, 10674019, 10674019
0, 405000, 0.28125, -0.575, 10812357, 10812357
0, 410000, 0.15625, -0.625, 10948031, 10948031
0, 415000, 0.1875, -0.575, 11088509, 11088509
0, 420000, 0.21875, -1.0, 11225281, 11225281
0, 425000, 0.375, -0.22499999999999998, 11368858, 11368858
0, 430000, 0.71875, -0.9, 11508852, 11508852
0, 435000, 0.3125, 0.04999999999999999, 11644101, 11644101
0, 440000, 0.0, -0.85, 11784457, 11784457
0, 445000, 0.03125, -0.8, 11926482, 11926482
0, 450000, 0.75, -0.85, 12065476, 12065476
0, 455000, 0.6875, -0.95, 12201265, 12201265
0, 460000, 0.375, -0.825, 12339264, 12339264
0, 465000, 0.34375, 0.325, 12481400, 12481400
0, 470000, 0.34375, -0.5, 12623468, 12623468
0, 475000, -0.0625, -0.9, 12765681, 12765681
0, 480000, 0.34375, -0.45, 12907598, 12907598
0, 485000, 0.5, -0.625, 13048929, 13048929
0, 490000, 0.5, -0.75, 13188531, 13188531
0, 495000, 0.84375, -0.675, 13329511, 13329511
0, 500000, 0.4375, -0.525, 13466742, 13466742
