controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.09, horizon:2, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 5000, 0.46875, -0.625, 90032, 90032, 8.659, 10397.505485621896
0, 10000, 0.75, -0.17500000000000004, 195407, 195407, 18.483, 10572.255586214358
0, 15000, 0.78125, -0.050000000000000044, 308776, 308776, 29.672, 10406.308978161229
0, 20000, 0.75, -0.27499999999999997, 427892, 427892, 41.944, 10201.506770932672
0, 25000, 0.875, 0.22499999999999998, 551723, 551723, 54.337, 10153.725822183778
0, 30000, 0.90625, 0.275, 677394, 677394, 66.59700000000001, 10171.539258525157
0, 35000, 0.75, 0.275, 803741, 803741, 78.56, 10230.919042769858
0, 40000, 0.96875, -0.47500000000000003, 930487, 930487, 90.59100000000001, 10271.296265633451
0, 45000, 0.75, -0.875, 1055630, 1055630, 102.69900000000001, 10278.873212007906
0, 50000, 0.84375, -0.85, 1176229, 1176229, 114.86600000000001, 10240.01009872373
0, 55000, 0.9375, -0.95, 1303035, 1303035, 126.62900000000002, 10290.178395154348
0, 60000, 0.78125, -0.775, 1423868, 1423868, 138.34500000000003, 10292.153673786546
0, 65000, 0.875, 0.6000000000000001, 1552886, 1552886, 150.33000000000004, 10329.847668462713
0, 70000, 0.9375, -0.024999999999999967, 1686438, 1686438, 163.40200000000004, 10320.791667176654
0, 75000, 0.875, -0.85, 1818987, 1818987, 176.53900000000004, 10303.598638261232
0, 80000, 0.75, -0.975, 1950131, 1950131, 188.62800000000004, 10338.502237207624
0, 85000, 0.78125, -0.85, 2082423, 2082423, 200.96700000000004, 10362.014659123137
0, 90000, 0.9375, -0.725, 2218864, 2218864, 213.86700000000005, 10374.971360705484
0, 95000, 0.9375, -0.75, 2355926, 2355926, 226.40300000000005, 10405.895681594324
0, 100000, 0.9375, -0.8, 2489828, 2489828, 238.62400000000005, 10434.105538420274
0, 105000, 0.875, -0.85, 2627715, 2627715, 251.89200000000005, 10431.911295317039
0, 110000, 0.9375, 0.175, 2766171, 2766171, 264.70900000000006, 10449.856257248523
0, 115000, 0.875, 0.22499999999999998, 2903390, 2903390, 277.2800000000001, 10470.9679746105
0, 120000, 1.0, -0.725, 3039830, 3039830, 291.22100000000006, 10438.223891820986
0, 125000, 0.9375, -0.75, 3179591, 3179591, 303.84600000000006, 10464.48200733266
0, 130000, 1.0, 0.525, 3324369, 3324369, 317.0400000000001, 10485.64534443603
0, 135000, 0.9375, 0.125, 3467324, 3467324, 330.2560000000001, 10498.897824717791
0, 140000, 0.90625, -0.17500000000000004, 3607721, 3607721, 342.94700000000006, 10519.76252890388
0, 145000, 0.875, -0.175, 3754728, 3754728, 356.50000000000006, 10532.196353436184
0, 150000, 0.9375, -0.725, 3897402, 3897402, 369.4510000000001, 10549.171608684235
0, 155000, 0.84375, -0.925, 4043142, 4043142, 382.78100000000006, 10562.54620788388
0, 160000, 1.0, -0.6, 4189604, 4189604, 396.41900000000004, 10568.625620870846
0, 165000, 1.0, -0.875, 4331352, 4331352, 409.961, 10565.278160605521
0, 170000, 0.90625, -0.7, 4472402, 4472402, 423.814, 10552.747195703776
0, 175000, 1.0, -0.725, 4621952, 4621952, 437.53000000000003, 10563.737343725
