controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=4, evalT=3
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
0, 400000, 0.65, -0.725, 10238928, 11376422;;;;;;;;;;;
0, 405000, 0.7, -0.55, 10381605, 11534964;;;;;;;;;;;
0, 410000, 0.7, -0.5, 10523205, 11692297;;;;;;;;;;;
0, 415000, 0.55, -0.85, 10660810, 11845209;;;;;;;;;;;
0, 420000, 0.525, -0.625, 10802082, 12002089;;;;;;;;;;;
0, 425000, 0.575, -0.6, 10942591, 12158150;;;;;;;;;;;
0, 430000, 0.725, -0.6, 11082267, 12313310;;;;;;;;;;;
0, 435000, 0.65, -0.7, 11217266, 12463438;;;;;;;;;;;
0, 440000, 0.7, -0.65, 11355289, 12616554;;;;;;;;;;;
0, 445000, 0.675, -0.675, 11493972, 12770773;;;;;;;;;;;
0, 450000, 0.775, -0.75, 11630947, 12923052;;;;;;;;;;;
0, 455000, 0.7, -0.675, 11766121, 13073375;;;;;;;;;;;
0, 460000, 0.7, -0.475, 11907799, 13230823;;;;;;;;;;;
0, 465000, 0.725, -0.575, 12047184, 13385736;;;;;;;;;;;
0, 470000, 0.7, -0.425, 12184091, 13537692;;;;;;;;;;;
0, 475000, 0.675, -0.575, 12316864, 13685364;;;;;;;;;;;
0, 480000, 0.45, 0.19999999999999996, 12446228, 13829037;;;;;;;;;;;
0, 485000, 0.775, -0.425, 12575928, 13972991;;;;;;;;;;;
0, 490000, 0.925, 0.29999999999999993, 12705759, 14117319;;;;;;;;;;;
0, 495000, 0.725, 0.725, 12835098, 14260818;;;;;;;;;;;
0, 500000, 0.75, 0.27499999999999997, 12964493, 14404767;;;;;;;;;;;
1, 5000, 0.175, -0.575, 86069, 95680;;;;;;;;;;;
1, 10000, 0.45, -0.22499999999999998, 182400, 202642;;;;;;;;;;;
1, 15000, 0.375, -0.22499999999999998, 285808, 317286;;;;;;;;;;;
1, 20000, 0.45, -0.8, 391670, 434938;;;;;;;;;;;
1, 25000, 0.2, -0.875, 504434, 560239;;;;;;;;;;;
1, 30000, 0.375, 0.024999999999999967, 617114, 685343;;;;;;;;;;;
1, 35000, 0.425, 0.4, 734749, 816022;;;;;;;;;;;
1, 40000, 0.35, 0.27499999999999997, 840468, 933845;;;;;;;;;;;
1, 45000, 0.575, -0.15000000000000002, 957169, 1063384;;;;;;;;;;;
1, 50000, 0.375, -0.14999999999999997, 1077329, 1196787;;;;;;;;;;;
1, 55000, 0.4, 0.475, 1203057, 1336561;;;;;;;;;;;
1, 60000, 0.35, -0.10000000000000003, 1327793, 1475188;;;;;;;;;;;
1, 65000, 0.425, 0.6, 1457219, 1618887;;;;;;;;;;;
1, 70000, 0.35, 0.15000000000000002, 1589168, 1765537;;;;;;;;;;;
1, 75000, 0.425, 0.22499999999999998, 1719625, 1910441;;;;;;;;;;;
1, 80000, 0.4, -0.10000000000000003, 1851596, 2056954;;;;;;;;;;;
1, 85000, 0.375, 0.65, 1978861, 2198307;;;;;;;;;;;
1, 90000, 0.4, 0.475, 2104182, 2337522;;;;;;;;;;;
1, 95000, 0.45, 0.30000000000000004, 2231793, 2479319;;;;;;;;;;;
1, 100000, 0.45, 0.6000000000000001, 2359734, 2621573;;;;;;;;;;;
1, 105000, 0.25, -0.050000000000000044, 2489442, 2765517;;;;;;;;;;;
1, 110000, 0.325, 0.14999999999999997, 2620989, 2911591;;;;;;;;;;;
1, 115000, 0.35, 0.30000000000000004, 2748557, 3053460;;;;;;;;;;;
1, 120000, 0.425, 0.35, 2880196, 3199433;;;;;;;;;;;
1, 125000, 0.475, 0.8250000000000001, 3009866, 3343366;;;;;;;;;;;
1, 130000, 0.325, 0.75, 3130113, 3477102;;;;;;;;;;;
1, 135000, 0.4, 0.85, 3248762, 3608918;;;;;;;;;;;
1, 140000, 0.475, 0.85, 3373738, 3747579;;;;;;;;;;;
1, 145000, 0.45, 0.625, 3505197, 3893548;;;;;;;;;;;
1, 150000, 0.5, 0.825, 3633865, 4036552;;;;;;;;;;;
1, 155000, 0.45, 0.75, 3761297, 4178370;;;;;;;;;;;
1, 160000, 0.425, 0.8500000000000001, 3889104, 4320188;;;;;;;;;;;
1, 165000, 0.5, 0.575, 4021215, 4466773;;;;;;;;;;;
1, 170000, 0.275, -0.925, 4151358, 4611371;;;;;;;;;;;
1, 175000, 0.625, -0.725, 4279187, 4753539;;;;;;;;;;;
1, 180000, 0.475, -0.85, 4408280, 4896971;;;;;;;;;;;
1, 185000, 0.95, 0.4, 4535887, 5038802;;;;;;;;;;;
1, 190000, 0.4, -0.35, 4666498, 5183912;;;;;;;;;;;
1, 195000, 0.35, -0.225, 4790675, 5321733;;;;;;;;;;;
1, 200000, 0.85, 0.44999999999999996, 4921386, 5466932;;;;;;;;;;;
1, 205000, 0.8, 0.95, 5051277, 5611205;;;;;;;;;;;
1, 210000, 0.475, 0.275, 5181765, 5756182;;;;;;;;;;;
1, 215000, 0.9, 0.9, 5312227, 5900967;;;;;;;;;;;
1, 220000, 0.325, 0.8999999999999999, 5443653, 6046912;;;;;;;;;;;
1, 225000, 0.625, 0.25, 5577485, 6195673;;;;;;;;;;;
1, 230000, 0.175, 0.8, 5707734, 6340278;;;;;;;;;;;
1, 235000, 0.275, -0.6, 5837294, 6484307;;;;;;;;;;;
1, 240000, 0.575, 0.8, 5962350, 6623296;;;;;;;;;;;
1, 245000, 0.525, 0.525, 6091398, 6766532;;;;;;;;;;;
1, 250000, 0.85, 0.9, 6218368, 6907676;;;;;;;;;;;
1, 255000, 0.3, 0.8500000000000001, 6348551, 7052353;;;;;;;;;;;
1, 260000, 0.425, 0.17500000000000004, 6474866, 7192759;;;;;;;;;;;
1, 265000, 0.875, 0.8250000000000001, 6602337, 7334800;;;;;;;;;;;
1, 270000, 0.85, 0.9249999999999999, 6732179, 7478819;;;;;;;;;;;
1, 275000, 0.9, 0.8250000000000001, 6861978, 7623001;;;;;;;;;;;
1, 280000, 0.925, 0.775, 6995364, 7771069;;;;;;;;;;;
1, 285000, 0.425, 0.39999999999999997, 7120840, 7910415;;;;;;;;;;;
1, 290000, 0.375, 0.8999999999999999, 7246296, 8049995;;;;;;;;;;;
1, 295000, 0.4, 0.8500000000000001, 7372573, 8190287;;;;;;;;;;;
1, 300000, 0.3, 0.875, 7493176, 8324259;;;;;;;;;;;
1, 305000, 0.6, 0.8500000000000001, 7623983, 8469617;;;;;;;;;;;
1, 310000, 0.575, 0.8, 7754437, 8614681;;;;;;;;;;;
1, 315000, 0.525, 0.8500000000000001, 7883761, 8758557;;;;;;;;;;;
1, 320000, 0.925, 0.8, 8013208, 8902428;;;;;;;;;;;
1, 325000, 0.875, 0.875, 8144657, 9048439;;;;;;;;;;;
1, 330000, 0.85, 0.8999999999999999, 8276865, 9195423;;;;;;;;;;;
1, 335000, 0.85, 0.9, 8410259, 9343842;;;;;;;;;;;
1, 340000, 0.925, 0.8, 8541227, 9489659;;;;;;;;;;;
