controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.36, horizon:5, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond
0, 5000, 0.5625, 0.025000000000000022, 91252, 91252, 14.563, 6266.016617455194
0, 10000, 0.75, -0.975, 189753, 189753, 30.39, 6243.928923988154
0, 15000, 0.5625, -0.975, 299026, 299026, 48.205, 6203.215434083601
0, 20000, 0.9375, 0.37500000000000006, 411739, 411739, 66.621, 6180.318518184957
0, 25000, 0.9375, -0.875, 527348, 527348, 85.106, 6196.366883650977
0, 30000, 0.71875, -0.95, 650075, 650075, 104.935, 6195.02549197122
0, 35000, 0.75, -0.975, 770752, 770752, 124.36, 6197.748472177549
0, 40000, 0.8125, -0.975, 895148, 895148, 144.338, 6201.748673253059
0, 45000, 0.8125, -0.2, 1021491, 1021491, 164.656, 6203.788504518511
0, 50000, 0.8125, -0.975, 1152330, 1152330, 185.942, 6197.255058028847
0, 55000, 0.96875, -0.95, 1278644, 1278644, 206.696, 6186.109068390293
0, 60000, 1.0, -0.975, 1406566, 1406566, 227.55599999999998, 6181.186169558263
0, 65000, 0.84375, -0.12500000000000006, 1534997, 1534997, 248.17499999999998, 6185.139518484941
0, 70000, 0.71875, -0.85, 1667572, 1667572, 269.291, 6192.4535168275215
0, 75000, 0.96875, -0.85, 1801323, 1801323, 290.605, 6198.527210474699
0, 80000, 0.875, -1.0, 1936666, 1936666, 311.762, 6212.001462654204
0, 85000, 0.9375, -0.875, 2070554, 2070554, 334.171, 6196.091222757212
0, 90000, 1.0, 0.10000000000000003, 2206403, 2206403, 355.26099999999997, 6210.653575821721
0, 95000, 0.96875, -0.725, 2339032, 2339032, 375.847, 6223.362165987756
0, 100000, 0.84375, -0.95, 2475567, 2475567, 397.19, 6232.702233188147
0, 105000, 0.875, -0.875, 2612698, 2612698, 418.719, 6239.7407330453125
0, 110000, 1.0, -0.925, 2751638, 2751638, 440.514, 6246.425766263955
0, 115000, 0.90625, -0.825, 2891219, 2891219, 462.723, 6248.2716441586
0, 120000, 0.84375, -0.35000000000000003, 3029289, 3029289, 485.014, 6245.776410577839
0, 125000, 0.9375, -0.9, 3170600, 3170600, 507.527, 6247.155323756175
0, 130000, 0.90625, 0.8, 3309377, 3309377, 529.441, 6250.700266885262
0, 135000, 1.0, -0.925, 3450457, 3450457, 552.143, 6249.208991149032
0, 140000, 1.0, -0.75, 3590635, 3590635, 574.351, 6251.638806235212
0, 145000, 0.9375, -0.8, 3730260, 3730260, 596.756, 6250.896513818043
0, 150000, 0.84375, -0.85, 3872161, 3872161, 619.495, 6250.512110670788
0, 155000, 0.8125, 0.475, 4016468, 4016468, 642.408, 6252.207319958656
0, 160000, 0.875, 0.95, 4160343, 4160343, 664.9060000000001, 6257.039340899314
0, 165000, 1.0, 0.025000000000000022, 4304710, 4304710, 687.644, 6260.085160344597
0, 170000, 1.0, -0.575, 4447245, 4447245, 709.653, 6266.788134482627
0, 175000, 0.90625, 0.35, 4593079, 4593079, 732.221, 6272.8042489904
0, 180000, 1.0, -0.45, 4736508, 4736508, 754.572, 6277.07892686185
0, 185000, 0.84375, -0.475, 4882244, 4882244, 778.344, 6272.604401138828
0, 190000, 0.90625, -0.55, 5030324, 5030324, 801.2320000000001, 6278.2365157657205
0, 195000, 0.875, -0.75, 5174387, 5174387, 823.6030000000001, 6282.622817061132
0, 200000, 1.0, 0.8250000000000001, 5323969, 5323969, 846.628, 6288.439550782634
0, 205000, 1.0, 0.725, 5473338, 5473338, 869.673, 6293.558613409868
0, 210000, 0.96875, 0.25, 5617672, 5617672, 891.852, 6298.883671281782
0, 215000, 1.0, -0.4, 5763408, 5763408, 914.286, 6303.725530085772
0, 220000, 1.0, 0.12500000000000006, 5910018, 5910018, 938.05, 6300.323010500507
0, 225000, 0.78125, -0.825, 6059170, 6059170, 961.4509999999999, 6302.110039929233
0, 230000, 0.875, -0.85, 6205354, 6205354, 984.0829999999999, 6305.722179938075
0, 235000, 1.0, -0.75, 6354878, 6354878, 1007.3079999999999, 6308.773483383435
0, 240000, 0.96875, 0.8, 6499483, 6499483, 1029.8739999999998, 6310.9496889910815
0, 245000, 1.0, 0.8250000000000001, 6650182, 6650182, 1053.3369999999998, 6313.4419468793
0, 250000, 1.0, 0.0, 6798344, 6798344, 1076.3269999999998, 6316.244041076738
0, 255000, 1.0, 0.35000000000000003, 6945131, 6945131, 1099.0509999999997, 6319.207206944902
0, 260000, 1.0, 0.35000000000000003, 7090254, 7090254, 1121.4949999999997, 6322.144993958958
0, 265000, 1.0, 0.27499999999999997, 7240376, 7240376, 1144.9569999999997, 6323.7099733876485
0, 270000, 0.875, -0.725, 7399210, 7399210, 1169.9229999999995, 6324.527340688236
0, 275000, 0.6875, -0.875, 7555777, 7555777, 1194.4359999999995, 6325.811512713954
0, 280000, 0.875, -0.55, 7711893, 7711893, 1218.6609999999994, 6328.1691955351025
0, 285000, 0.65625, -0.8, 7863611, 7863611, 1243.0109999999993, 6326.260185951697
0, 290000, 0.9375, -0.775, 8010717, 8010717, 1266.2849999999994, 6326.156433978136
0, 295000, 1.0, -0.025000000000000022, 8161312, 8161312, 1290.0249999999994, 6326.475843491408
0, 300000, 0.9375, -0.925, 8307586, 8307586, 1313.2259999999994, 6326.090101779894
0, 305000, 0.90625, 0.32499999999999996, 8466451, 8466451, 1338.1769999999995, 6326.854369788155
0, 310000, 0.875, -0.75, 8619736, 8619736, 1362.4839999999995, 6326.486035799322
0, 315000, 0.875, -0.825, 8776107, 8776107, 1387.8909999999994, 6323.3402334909615
0, 320000, 1.0, 0.95, 8932531, 8932531, 1412.4589999999994, 6324.099318989085
0, 325000, 0.75, 0.725, 9084685, 9084685, 1436.0649999999994, 6326.095963622819
0, 330000, 0.875, 0.8, 9241381, 9241381, 1460.2829999999994, 6328.486327650191
0, 335000, 1.0, 0.75, 9391894, 9391894, 1483.8809999999994, 6329.277078148452
0, 340000, 0.90625, 0.375, 9547319, 9547319, 1508.1339999999993, 6330.5508661697195
0, 345000, 0.96875, 0.8, 9702652, 9702652, 1532.4859999999994, 6331.315261607612
0, 350000, 1.0, 0.9249999999999999, 9865500, 9865500, 1558.3719999999994, 6330.645057791082
0, 355000, 0.84375, 1.0, 10015169, 10015169, 1581.5719999999994, 6332.414205613151
0, 360000, 1.0, 0.75, 10166648, 10166648, 1604.9309999999994, 6334.63245460397
0, 365000, 0.875, 0.9249999999999999, 10317903, 10317903, 1628.2749999999994, 6336.707865686081
0, 370000, 0.9375, 0.95, 10467640, 10467640, 1651.7039999999995, 6337.479354654347
0, 375000, 1.0, 0.8500000000000001, 10623707, 10623707, 1675.3189999999995, 6341.303954649833
0, 380000, 0.9375, 0.95, 10781449, 10781449, 1699.2729999999995, 6344.742133841945
0, 385000, 0.9375, 0.14999999999999997, 10935713, 10935713, 1724.0939999999994, 6342.875156458989
0, 390000, 1.0, 0.9249999999999999, 11086618, 11086618, 1747.1109999999994, 6345.686106950276
0, 395000, 0.90625, 0.875, 11246972, 11246972, 1771.3419999999994, 6349.4073984583465
0, 400000, 0.90625, 0.85, 11400130, 11400130, 1794.7519999999995, 6351.924945619229
0, 405000, 1.0, 0.775, 11564204, 11564204, 1819.8579999999995, 6354.454028830823
0, 410000, 0.875, 0.75, 11723760, 11723760, 1844.0989999999995, 6357.446102405567
0, 415000, 1.0, 0.95, 11884308, 11884308, 1868.3679999999995, 6360.7961600712515
0, 420000, 1.0, 0.475, 12047851, 12047851, 1894.3629999999994, 6359.842860106539
0, 425000, 1.0, 0.44999999999999996, 12212542, 12212542, 1919.9239999999993, 6360.95074596703
0, 430000, 0.9375, 0.725, 12387079, 12387079, 1946.4199999999994, 6364.031915002931
