controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.36, horizon:5, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:0.5->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
1, 60000, -0.5625, -0.625, 1257428, 1257428
1, 65000, -0.84375, -0.8, 1376591, 1376591
1, 70000, -0.65625, -0.975, 1497060, 1497060
1, 75000, -0.25, -0.07500000000000001, 1618504, 1618504
1, 80000, -0.1875, -0.925, 1740353, 1740353
1, 85000, -0.125, 0.42499999999999993, 1867100, 1867100
1, 90000, 0.09375, 0.24999999999999994, 1994910, 1994910
1, 95000, 0.34375, 0.4, 2124269, 2124269
1, 100000, -0.1875, -0.875, 2255072, 2255072
1, 105000, -0.59375, -0.85, 2383894, 2383894
1, 110000, -0.1875, -0.95, 2513847, 2513847
1, 115000, -0.21875, -0.75, 2642319, 2642319
1, 120000, 0.125, -0.8, 2772561, 2772561
1, 125000, -0.625, -0.9, 2900233, 2900233
1, 130000, -0.375, 0.44999999999999996, 3026959, 3026959
1, 135000, -0.71875, -0.85, 3157269, 3157269
1, 140000, 0.1875, 0.025000000000000022, 3288499, 3288499
1, 145000, 0.15625, -0.925, 3424448, 3424448
1, 150000, 0.3125, -0.725, 3557721, 3557721
1, 155000, -0.59375, -0.75, 3689734, 3689734
1, 160000, -0.78125, -0.75, 3822890, 3822890
1, 165000, -0.40625, -0.95, 3957597, 3957597
1, 170000, -0.15625, -0.725, 4095177, 4095177
1, 175000, -0.59375, -0.925, 4228385, 4228385
1, 180000, -0.0625, 0.10000000000000003, 4363719, 4363719
1, 185000, 0.25, 0.85, 4500380, 4500380
1, 190000, 0.15625, -0.7, 4637885, 4637885
1, 195000, 0.125, -0.925, 4772881, 4772881
1, 200000, -0.0625, 0.35000000000000003, 4906747, 4906747
1, 205000, 0.09375, -0.825, 5041650, 5041650
1, 210000, 0.28125, -0.39999999999999997, 5178981, 5178981
1, 215000, -0.0625, -0.875, 5323980, 5323980
1, 220000, 0.28125, -0.875, 5463843, 5463843
1, 225000, -0.21875, -0.6, 5605578, 5605578
1, 230000, 0.0625, -0.975, 5747813, 5747813
1, 235000, 0.4375, -0.75, 5889440, 5889440
1, 240000, 0.25, -0.85, 6030970, 6030970
1, 245000, 0.0, -0.975, 6172477, 6172477
1, 250000, -0.25, -0.5, 6316269, 6316269
1, 255000, 0.0, -0.95, 6459395, 6459395
1, 260000, 0.25, -0.925, 6603721, 6603721
1, 265000, -0.5625, -0.9, 6748351, 6748351
1, 270000, 0.46875, -0.775, 6895473, 6895473
1, 275000, 0.25, 0.6499999999999999, 7044682, 7044682
1, 280000, 0.40625, 0.875, 7191410, 7191410
1, 285000, 0.5, 0.6000000000000001, 7339785, 7339785
1, 290000, 0.03125, 0.6000000000000001, 7485135, 7485135
1, 295000, 0.03125, 0.475, 7633687, 7633687
1, 300000, -0.03125, -0.725, 7781806, 7781806
1, 305000, 0.625, -0.975, 7925740, 7925740
1, 310000, 0.1875, -0.325, 8073635, 8073635
1, 315000, -0.03125, -0.35000000000000003, 8222566, 8222566
1, 320000, 0.40625, -0.625, 8369801, 8369801
1, 325000, -0.25, -0.725, 8531409, 8531409
