controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.25, horizon:4, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
1, 55000, 0.5, -0.875, 1240554, 1240554
1, 60000, 0.325, -0.85, 1370170, 1370170
1, 65000, 0.225, -0.875, 1498159, 1498159
1, 70000, 0.65, -0.975, 1631601, 1631601
1, 75000, 0.225, -0.7, 1764411, 1764411
1, 80000, 0.525, -0.925, 1899395, 1899395
1, 85000, 0.675, -0.925, 2034065, 2034065
1, 90000, 0.35, -0.975, 2167207, 2167207
1, 95000, 0.35, 0.14999999999999997, 2302641, 2302641
1, 100000, 0.55, 0.22500000000000003, 2436767, 2436767
1, 105000, 0.475, 0.275, 2571688, 2571688
1, 110000, 0.35, -0.9, 2708276, 2708276
1, 115000, 0.55, 0.35000000000000003, 2844078, 2844078
1, 120000, 0.575, -0.8, 2985048, 2985048
1, 125000, 0.2, -0.925, 3126931, 3126931
1, 130000, 0.625, -0.775, 3268991, 3268991
1, 135000, 0.65, 0.10000000000000003, 3408469, 3408469
1, 140000, 0.25, -0.9, 3552458, 3552458
1, 145000, 0.65, -0.024999999999999967, 3693689, 3693689
1, 150000, 0.125, -0.95, 3834437, 3834437
1, 155000, 0.375, -0.775, 3977173, 3977173
1, 160000, 0.55, 0.17499999999999993, 4118964, 4118964
1, 165000, 0.65, -0.050000000000000044, 4262051, 4262051
1, 170000, 0.375, -0.9, 4409197, 4409197
1, 175000, 0.575, -0.825, 4554839, 4554839
1, 180000, 0.525, -1.0, 4701595, 4701595
1, 185000, 0.3, -0.425, 4846656, 4846656
1, 190000, 0.25, -0.825, 4993748, 4993748
1, 195000, 0.3, -0.7, 5143302, 5143302
1, 200000, 0.7, -0.9, 5286533, 5286533
1, 205000, 0.675, -0.9, 5429547, 5429547
1, 210000, 0.25, -0.625, 5576996, 5576996
1, 215000, 0.775, 0.75, 5726316, 5726316
1, 220000, 0.4, -0.475, 5875982, 5875982
1, 225000, 0.55, -0.775, 6028371, 6028371
1, 230000, 0.375, -1.0, 6176966, 6176966
1, 235000, 0.65, -0.6, 6323070, 6323070
1, 240000, 0.375, -1.0, 6482625, 6482625
1, 245000, 0.0, -0.925, 6640622, 6640622
1, 250000, 0.7, -0.725, 6797482, 6797482
1, 255000, 0.625, -0.725, 6957759, 6957759
1, 260000, 0.725, -0.775, 7105288, 7105288
1, 265000, 0.5, 0.65, 7260413, 7260413
1, 270000, 0.4, -0.65, 7413245, 7413245
1, 275000, 0.0, -0.775, 7566521, 7566521
1, 280000, 0.225, -0.875, 7717465, 7717465
1, 285000, 0.675, -0.825, 7872148, 7872148
1, 290000, 0.625, -0.85, 8023640, 8023640
1, 295000, 0.675, 0.55, 8177300, 8177300
1, 300000, 0.725, 0.8999999999999999, 8325194, 8325194
1, 305000, 0.75, 0.22499999999999998, 8480849, 8480849
1, 310000, 0.55, -0.9, 8625923, 8625923
1, 315000, 0.5, 0.19999999999999996, 8787829, 8787829
1, 320000, 0.275, -0.825, 8952619, 8952619
1, 325000, 0.575, -0.65, 9115472, 9115472
1, 330000, 0.7, -0.625, 9273593, 9273593
1, 335000, 0.6, -0.85, 9434405, 9434405
1, 340000, 0.7, 0.325, 9596372, 9596372
1, 345000, 0.875, 1.0, 9750418, 9750418
1, 350000, 0.85, 0.6000000000000001, 9899281, 9899281
1, 355000, 0.825, 0.8999999999999999, 10043393, 10043393
1, 360000, 0.875, 0.8999999999999999, 10197103, 10197103
1, 365000, 0.85, 0.9249999999999999, 10360367, 10360367
1, 370000, 0.85, 0.8999999999999999, 10512474, 10512474
1, 375000, 0.875, 0.725, 10658252, 10658252
1, 380000, 0.825, 0.5, 10818524, 10818524
1, 385000, 0.675, -0.95, 10975832, 10975832
1, 390000, 0.625, -0.925, 11126118, 11126118
1, 395000, 0.725, -0.9, 11298429, 11298429
1, 400000, 0.775, -0.6, 11480430, 11480430
1, 405000, 0.8, 0.8999999999999999, 11660271, 11660271
1, 410000, 0.725, -0.9, 11833993, 11833993
1, 415000, 0.775, 0.5, 12003224, 12003224
1, 420000, 0.625, -0.675, 12168733, 12168733
1, 425000, 0.525, 0.775, 12338286, 12338286
1, 430000, 0.825, 0.925, 12516709, 12516709
1, 435000, 0.775, 0.8500000000000001, 12697620, 12697620
1, 440000, 0.675, 0.35, 12857921, 12857921
1, 445000, 0.8, 1.0, 13028576, 13028576
1, 450000, 0.8, 1.0, 13188762, 13188762
1, 455000, 0.9, 0.875, 13345436, 13345436
1, 460000, 0.825, 0.75, 13500509, 13500509
1, 465000, 0.875, 0.8250000000000001, 13650485, 13650485
1, 470000, 0.875, 0.8, 13803111, 13803111
