controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.36, horizon:5, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.1, gamma: 1.0, fixed n-tuple, mode=1
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 5000, -0.65625, -0.35000000000000003, 92971, 92971
0, 10000, -0.6875, -0.20000000000000007, 201883, 201883
0, 15000, -1.0, -0.975, 314965, 314965
0, 20000, -0.75, -0.95, 430875, 430875
0, 25000, -0.21875, -0.5, 550498, 550498
0, 30000, -0.53125, -0.775, 669632, 669632
0, 35000, -0.5, 0.625, 789917, 789917
0, 40000, -0.25, -0.875, 914721, 914721
0, 45000, -0.6875, -0.95, 1035680, 1035680
0, 50000, -0.5625, -0.9, 1158401, 1158401
0, 55000, -0.5625, -1.0, 1282882, 1282882
0, 60000, -0.4375, -0.65, 1408373, 1408373
0, 65000, -0.1875, -0.775, 1535641, 1535641
0, 70000, -0.4375, -0.85, 1665195, 1665195
0, 75000, -0.53125, -0.95, 1794556, 1794556
0, 80000, 0.46875, 0.42499999999999993, 1925029, 1925029
0, 85000, 0.21875, -0.85, 2061684, 2061684
0, 90000, 0.15625, -0.925, 2190181, 2190181
0, 95000, 0.25, -0.775, 2316131, 2316131
0, 100000, 0.15625, -0.9, 2444502, 2444502
0, 105000, -0.125, -0.85, 2574624, 2574624
0, 110000, -0.15625, -0.925, 2703764, 2703764
0, 115000, -0.1875, -0.95, 2834601, 2834601
0, 120000, -0.34375, -0.875, 2965941, 2965941
0, 125000, -0.09375, -0.95, 3098985, 3098985
0, 130000, 0.3125, 0.45, 3229865, 3229865
0, 135000, 0.1875, -0.9, 3360260, 3360260
0, 140000, 0.21875, 0.6, 3492054, 3492054
0, 145000, 0.75, -0.85, 3623918, 3623918
0, 150000, -0.0625, -0.65, 3757807, 3757807
0, 155000, -0.0625, -0.75, 3888445, 3888445
0, 160000, -0.4375, -0.675, 4021326, 4021326
0, 165000, -0.25, -0.9, 4158163, 4158163
0, 170000, 0.28125, -0.975, 4292915, 4292915
0, 175000, -0.59375, -0.9, 4427027, 4427027
0, 180000, 0.25, 0.6000000000000001, 4563624, 4563624
0, 185000, 0.1875, -0.85, 4699292, 4699292
0, 190000, 0.375, 0.35000000000000003, 4832613, 4832613
0, 195000, 0.8125, -0.925, 4966000, 4966000
0, 200000, -0.09375, -0.85, 5103437, 5103437
0, 205000, -0.1875, -0.725, 5238369, 5238369
0, 210000, -0.125, -0.9, 5374683, 5374683
0, 215000, -0.03125, -0.825, 5509077, 5509077
0, 220000, 0.46875, -0.925, 5646147, 5646147
0, 225000, 0.03125, -0.925, 5783098, 5783098
0, 230000, 0.125, -0.775, 5918210, 5918210
0, 235000, -0.25, -0.875, 6054612, 6054612
0, 240000, 0.21875, -0.825, 6191230, 6191230
0, 245000, 0.40625, 0.27499999999999997, 6324983, 6324983
0, 250000, 0.0, -0.875, 6459842, 6459842
0, 255000, 0.28125, 0.47500000000000003, 6596896, 6596896
0, 260000, 0.125, -0.925, 6735534, 6735534
0, 265000, -0.25, -0.875, 6873157, 6873157
0, 270000, 0.5, -0.04999999999999999, 7010307, 7010307
0, 275000, 0.09375, -0.925, 7146339, 7146339
0, 280000, -0.03125, -0.85, 7281388, 7281388
0, 285000, 0.09375, -0.85, 7418256, 7418256
0, 290000, 0.5, -0.8, 7554991, 7554991
0, 295000, -0.3125, -0.825, 7688750, 7688750
0, 300000, 0.5625, -0.775, 7824304, 7824304
0, 305000, 0.125, -0.825, 7961816, 7961816
0, 310000, 0.65625, 0.775, 8099504, 8099504
0, 315000, 0.25, -0.85, 8235372, 8235372
0, 320000, 0.3125, -0.95, 8372570, 8372570
0, 325000, 0.34375, -0.825, 8511140, 8511140
0, 330000, 0.4375, -0.95, 8647842, 8647842
0, 335000, 0.40625, -0.925, 8784304, 8784304
0, 340000, 0.4375, -0.65, 8921703, 8921703
0, 345000, 0.21875, -0.875, 9058124, 9058124
0, 350000, 0.28125, -0.475, 9192573, 9192573
0, 355000, 0.5, 0.775, 9328724, 9328724
0, 360000, 0.09375, -0.25000000000000006, 9464564, 9464564
0, 365000, 0.0, -0.925, 9600470, 9600470
0, 370000, 0.28125, -0.875, 9737355, 9737355
0, 375000, 0.125, -0.8, 9873426, 9873426
0, 380000, 0.375, -0.8, 10009213, 10009213
0, 385000, 0.1875, 0.04999999999999999, 10144779, 10144779
0, 390000, 0.25, -0.375, 10283849, 10283849
0, 395000, 0.375, -0.45, 10419791, 10419791
0, 400000, 0.5, -0.825, 10558792, 10558792
0, 405000, -0.125, -0.45, 10695504, 10695504
0, 410000, 0.0625, -0.775, 10834446, 10834446
0, 415000, 0.28125, -0.775, 10968224, 10968224
0, 420000, 0.65625, 0.325, 11107422, 11107422
