controllers.TD.ntuple2.TDNTuple2Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.5, horizon:7, AFTERSTATE:false, learnFromRM: false;;;;;;;;;;;
controllers.TD.ntuple2.TDNTuple2Agt: alpha_init->final:5.0->5.0, epsilon_init->final:0.1->0.0, gamma: 1.0, MODE_3P: 2, fixed n-tuple, mode=1;;;;;;;;;;;evalQ=evalAB5, evalT=evalAB
run, gameNum, evalQ, evalT, actionNum, trnMoves;;;;;;;;;;;
0, 390000, 0.8, 0.7, 11665315, 12386271;;;;;;;;;;;
0, 395000, 0.775, 0.525, 11858762, 12583932;;;;;;;;;;;
0, 400000, 0.875, 0.8999999999999999, 12052232, 12781440;;;;;;;;;;;
0, 405000, 0.725, 0.17500000000000004, 12246309, 12979314;;;;;;;;;;;
0, 410000, 0.75, 0.27499999999999997, 12441596, 13178179;;;;;;;;;;;
0, 415000, 0.9, 0.8500000000000001, 12637880, 13377913;;;;;;;;;;;
0, 420000, 0.875, 0.75, 12833475, 13576833;;;;;;;;;;;
0, 425000, 0.525, 0.6749999999999999, 13030847, 13777290;;;;;;;;;;;
0, 430000, 0.4, -0.775, 13227753, 13977263;;;;;;;;;;;
0, 435000, 0.35, -0.6, 13425279, 14177494;;;;;;;;;;;
0, 440000, 0.4, -0.7, 13624447, 14379238;;;;;;;;;;;
0, 445000, 0.4, -0.675, 13823009, 14580064;;;;;;;;;;;
0, 450000, 0.4, -0.825, 14023248, 14782381;;;;;;;;;;;
0, 455000, 0.6, 0.8500000000000001, 14223297, 14984330;;;;;;;;;;;
0, 460000, 0.6, 0.8500000000000001, 14425399, 15188180;;;;;;;;;;;
0, 465000, 0.55, 0.8500000000000001, 14628621, 15393009;;;;;;;;;;;
0, 470000, 0.6, 0.8250000000000001, 14832699, 15598378;;;;;;;;;;;
0, 475000, 0.525, 0.8500000000000001, 15037903, 15804730;;;;;;;;;;;
0, 480000, 0.35, -0.6, 15243294, 16011071;;;;;;;;;;;
0, 485000, 0.375, -0.65, 15450771, 16219203;;;;;;;;;;;
0, 490000, 0.375, -0.625, 15659025, 16427972;;;;;;;;;;;
0, 495000, 0.7, -0.6, 15867398, 16636654;;;;;;;;;;;
0, 500000, 0.9, 0.725, 16076933, 16846303;;;;;;;;;;;
1, 5000, 0.3, -1.0, 96031, 106493;;;;;;;;;;;
1, 10000, 0.3, -0.975, 201029, 222982;;;;;;;;;;;
1, 15000, 0.4, -0.975, 316322, 350879;;;;;;;;;;;
1, 20000, 0.2, -0.875, 430103, 476699;;;;;;;;;;;
1, 25000, 0.25, -1.0, 546081, 604913;;;;;;;;;;;
1, 30000, 0.375, 0.22499999999999998, 666420, 737841;;;;;;;;;;;
1, 35000, 0.4, 0.15000000000000002, 777865, 860748;;;;;;;;;;;
1, 40000, 0.2, 0.35, 893818, 988534;;;;;;;;;;;
1, 45000, 0.0, -0.975, 1011061, 1117662;;;;;;;;;;;
1, 50000, 0.0, -0.975, 1129767, 1248108;;;;;;;;;;;
1, 55000, 0.0, -0.875, 1256557, 1387494;;;;;;;;;;;
1, 60000, 0.325, -0.925, 1376380, 1518957;;;;;;;;;;;
1, 65000, 0.0, -0.675, 1501402, 1655912;;;;;;;;;;;
1, 70000, 0.6, -0.925, 1627377, 1793744;;;;;;;;;;;
1, 75000, 0.625, -0.95, 1759557, 1938340;;;;;;;;;;;
1, 80000, 0.725, 0.3, 1892739, 2083972;;;;;;;;;;;
1, 85000, 0.575, -0.10000000000000003, 2023867, 2227038;;;;;;;;;;;
1, 90000, 0.775, -0.44999999999999996, 2152644, 2367361;;;;;;;;;;;
1, 95000, 0.7, -0.27499999999999997, 2283952, 2510381;;;;;;;;;;;
1, 100000, 0.925, 0.17499999999999993, 2422430, 2660903;;;;;;;;;;;
1, 105000, 0.75, -0.050000000000000044, 2556294, 2806296;;;;;;;;;;;
1, 110000, 0.725, -0.024999999999999967, 2691325, 2952748;;;;;;;;;;;
1, 115000, 0.725, 0.525, 2829013, 3102144;;;;;;;;;;;
1, 120000, 0.9, -0.275, 2965093, 3249741;;;;;;;;;;;
1, 125000, 0.65, 0.2, 3104739, 3400810;;;;;;;;;;;
1, 130000, 0.85, -0.10000000000000003, 3242375, 3549340;;;;;;;;;;;
1, 135000, 0.825, 0.575, 3382624, 3700649;;;;;;;;;;;
1, 140000, 0.85, 0.09999999999999998, 3520002, 3848847;;;;;;;;;;;
1, 145000, 0.8, 0.35, 3662788, 4002598;;;;;;;;;;;
1, 150000, 0.7, 0.8, 3800660, 4150957;;;;;;;;;;;
1, 155000, 0.8, 0.7, 3936917, 4297517;;;;;;;;;;;
1, 160000, 0.825, 0.15000000000000002, 4072730, 4443348;;;;;;;;;;;
1, 165000, 0.35, -0.3, 4211986, 4592697;;;;;;;;;;;
1, 170000, 0.45, -0.27499999999999997, 4356079, 4747058;;;;;;;;;;;
1, 175000, 0.5, 0.55, 4499886, 4900863;;;;;;;;;;;
