TDNTuple3Agt: USESYM:true, P:4, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:10.0->10.0, epsilon_init->final:0.1->0.0, gamma: 1.0, fixed n-tuple, mode=1, evalQ: 3, evalT: 5
run, gameNum, evalQ, evalT, actionNum, trnMoves, elapsedTime, movesSecond, alpha, alphaFinal
0, 4300000, 0.9500000000000005, 0.7250000000000003, 138071974, 133771974, 9521.631, 14500.87427248546, 1.0, 1.0
0, 4400000, 0.9500000000000005, 0.9500000000000005, 141427278, 137027278, 9753.08, 14500.781086590083, 1.0, 1.0
0, 4500000, 0.9750000000000005, 0.8250000000000004, 144645831, 140145831, 9977.869, 14496.665670796037, 1.0, 1.0
0, 4600000, 0.9250000000000005, 0.8000000000000004, 147959207, 143359207, 10205.72, 14497.67453937596, 1.0, 1.0
0, 4700000, 0.9500000000000005, 0.9500000000000005, 151300546, 146600546, 10433.984, 14500.745448718342, 1.0, 1.0
0, 4800000, 1.0000000000000004, 0.7250000000000003, 154556892, 149756892, 10658.102, 14501.352304566046, 1.0, 1.0
0, 4900000, 0.37500000000000006, 0.07500000000000001, 157845962, 152945962, 10883.931, 14502.66103304036, 1.0, 1.0
0, 5000000, 1.0000000000000004, 0.9000000000000005, 161121377, 156121377, 11109.624, 14502.864993450723, 1.0, 1.0
0, 5100000, 0.9000000000000005, 0.7750000000000004, 164487365, 159387365, 11338.545, 14506.919979591738, 1.0, 1.0
0, 5200000, 1.0000000000000004, 0.7750000000000004, 167750975, 162550975, 11563.599, 14506.813579405512, 1.0, 1.0
0, 5300000, 1.0000000000000004, 0.8500000000000004, 171058866, 165758866, 11788.218, 14511.002935303706, 1.0, 1.0
0, 5400000, 1.0000000000000004, 0.6500000000000002, 174297606, 168897606, 12011.633, 14510.733553048116, 1.0, 1.0
0, 5500000, 1.0000000000000004, 0.7000000000000003, 177557770, 172057770, 12235.474, 14511.719774812156, 1.0, 1.0
0, 5600000, 0.9750000000000005, 0.8500000000000004, 180810174, 175210174, 12460.139, 14511.08803842397, 1.0, 1.0
0, 5700000, 0.9500000000000005, 0.9000000000000005, 184121072, 178421072, 12687.83, 14511.628229571172, 1.0, 1.0
0, 5800000, 0.9750000000000005, 0.8250000000000004, 187424412, 181624412, 12916.123, 14510.887826014045, 1.0, 1.0
0, 5900000, 0.9000000000000005, 0.9500000000000005, 190742731, 184842731, 13142.611, 14513.305689409814, 1.0, 1.0
0, 6000000, 0.9500000000000005, 0.7250000000000003, 193917463, 187917463, 13364.129, 14510.295657876393, 1.0, 1.0
0, 100000, -0.7500000000000003, -0.9000000000000005, 2619470, 2519470, 185.36, 14131.79758308157, 2.5, 2.5
0, 200000, -0.9750000000000005, -1.0000000000000004, 5453790, 5253790, 384.009, 14202.245259876721, 2.5, 2.5
0, 300000, -0.8000000000000004, -0.8750000000000004, 8409665, 8109665, 589.44, 14267.21125135722, 2.5, 2.5
0, 400000, 0.6500000000000002, 0.3, 11360903, 10960903, 794.552, 14298.501545525025, 2.5, 2.5
0, 500000, 0.6750000000000003, 0.4000000000000001, 14344988, 13844988, 1002.288, 14312.241591239244, 2.5, 2.5
0, 600000, 0.8750000000000004, 0.5750000000000002, 17396206, 16796206, 1213.797, 14332.05552493539, 2.5, 2.5
0, 700000, 0.8750000000000004, 0.7500000000000003, 20438130, 19738130, 1425.074, 14341.802601128082, 2.5, 2.5
0, 800000, 0.8750000000000004, 0.6000000000000002, 23476706, 22676706, 1636.305, 14347.390003697354, 2.5, 2.5
0, 900000, 0.8500000000000004, 0.7000000000000003, 26542505, 25642505, 1849.617, 14350.2708939202, 2.5, 2.5
0, 1000000, 0.7500000000000003, 0.6750000000000003, 29592970, 28592970, 2061.334, 14356.222717909859, 2.5, 2.5
0, 1100000, 0.9500000000000005, 0.5750000000000002, 32674869, 31574869, 2275.258, 14360.951153671365, 2.5, 2.5
0, 1200000, 1.0000000000000004, 0.6500000000000002, 35739500, 34539500, 2487.736, 14366.275199619253, 2.5, 2.5
0, 1300000, 0.9500000000000005, 0.8750000000000004, 38847493, 37547493, 2703.185, 14371.007903639596, 2.5, 2.5
0, 1400000, 0.8250000000000004, 0.5750000000000002, 41966243, 40566243, 2919.572, 14374.107917187861, 2.5, 2.5
0, 1500000, 0.9500000000000005, 0.8250000000000004, 45074095, 43574095, 3134.936, 14377.995276458594, 2.5, 2.5
0, 1600000, 0.9500000000000005, 0.7000000000000003, 48182491, 46582491, 3350.358, 14381.296267443657, 2.5, 2.5
0, 1700000, 0.9250000000000005, 0.6500000000000002, 51315031, 49615031, 3567.118, 14385.571489364804, 2.5, 2.5
