controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 16633, 202846
0, 20000, 0.0, 0.0, 0.0, 45842, 396272
0, 30000, 0.0, 0.08333333333333333, 0.0, 86445, 580729
0, 40000, 1.0, 0.5833333333333333, 0.0, 137713, 757173
0, 50000, 1.0, 0.5, 0.0, 198655, 927134
0, 60000, 0.6666666666666666, 0.9166666666666666, 0.0, 269230, 1091404
0, 70000, 1.0, 1.0, 0.0, 347409, 1248290
0, 80000, 1.0, 0.9166666666666666, 0.0, 434685, 1403176
0, 90000, 1.0, 0.8333333333333334, 0.0, 531836, 1556975
0, 100000, 1.0, 1.0, 0.0, 636972, 1707054
0, 110000, 1.0, 1.0, 0.0, 749527, 1853511
0, 120000, 1.0, 1.0, 0.0, 872903, 2001415
0, 130000, 1.0, 1.0, 0.0, 1007562, 2150655
0, 140000, 1.0, 1.0, 0.0, 1152765, 2300682
0, 150000, 1.0, 0.75, 0.0, 1305391, 2448148
1, 10000, 0.0, 0.0, 0.0, 16606, 202760
1, 20000, 0.0, 0.0, 0.0, 46145, 396783
1, 30000, 0.6666666666666666, 0.25, 0.0, 86709, 580959
1, 40000, 0.3333333333333333, 0.49999999999999994, 0.0, 137935, 757211
1, 50000, 0.6666666666666666, 0.6666666666666666, 0.0, 198591, 926615
1, 60000, 0.3333333333333333, 0.6666666666666666, 0.0, 268834, 1090413
1, 70000, 1.0, 0.8333333333333333, 0.0, 347973, 1248916
1, 80000, 1.0, 0.8333333333333333, 0.0, 435010, 1403119
1, 90000, 0.6666666666666666, 0.8333333333333333, 0.0, 530192, 1553245
1, 100000, 1.0, 0.9166666666666666, 0.0, 631702, 1697580
1, 110000, 1.0, 1.0, 0.0, 739493, 1836881
1, 120000, 1.0, 1.0, 0.0, 854797, 1974224
1, 130000, 1.0, 0.9166666666666666, 0.0, 981211, 2113595
1, 140000, 1.0, 0.8333333333333334, 0.0, 1120457, 2257063
1, 150000, 1.0, 0.75, 0.0, 1263246, 2394415
2, 10000, 0.0, 0.0, 0.0, 16756, 202766
2, 20000, 0.0, 0.0, 0.0, 46031, 396483
2, 30000, 0.6666666666666666, 0.25, 0.0, 86852, 581373
2, 40000, 1.0, 0.49999999999999994, 0.0, 138307, 757330
2, 50000, 0.6666666666666666, 0.5833333333333333, 0.0, 199035, 927445
2, 60000, 1.0, 0.8333333333333333, 0.0, 268975, 1090743
2, 70000, 1.0, 1.0, 0.0, 347011, 1248074
2, 80000, 1.0, 1.0, 0.0, 433929, 1402462
2, 90000, 1.0, 1.0, 0.0, 528935, 1552366
2, 100000, 1.0, 1.0, 0.0, 631613, 1698430
2, 110000, 1.0, 0.9166666666666666, 0.0, 741747, 1841445
2, 120000, 1.0, 1.0, 0.0, 857996, 1980112
2, 130000, 1.0, 1.0, 0.0, 985155, 2120529
2, 140000, 1.0, 0.8333333333333333, 0.0, 1119360, 2258457
2, 150000, 1.0, 0.75, 0.0, 1258340, 2391961
3, 10000, 0.0, 0.0, 0.0, 16811, 202555
3, 20000, 0.0, 0.0, 0.0, 45983, 395780
3, 30000, 0.0, 0.25, 0.0, 86607, 580942
3, 40000, 1.0, 0.5833333333333333, 0.0, 137816, 757055
3, 50000, 1.0, 0.3333333333333333, 0.0, 197944, 925735
3, 60000, 1.0, 0.9166666666666666, 0.0, 267727, 1088702
3, 70000, 1.0, 0.9166666666666666, 0.0, 346482, 1247391
3, 80000, 0.3333333333333333, 0.8333333333333333, 0.0, 432883, 1400627
3, 90000, 1.0, 0.8333333333333334, 0.0, 527246, 1549384
3, 100000, 1.0, 1.0, 0.0, 627265, 1691389
3, 110000, 1.0, 1.0, 0.0, 735485, 1831278
3, 120000, 0.6666666666666666, 1.0, 0.0, 847578, 1964819
3, 130000, 1.0, 0.9166666666666666, 0.0, 965142, 2093669
3, 140000, 0.6666666666666666, 1.0, 0.0, 1090745, 2222203
