controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.8, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum, trnMoves
0, 10000, 0.0, 0.0, 0.0, 19079, 201920
0, 20000, 0.3333333333333333, 0.16666666666666666, 0.0, 54427, 392536
0, 30000, 1.0, 0.49999999999999994, 0.0, 104802, 573494
0, 40000, 1.0, 0.49999999999999994, 0.0, 169179, 745073
0, 50000, 1.0, 0.75, 0.0, 245989, 910145
0, 60000, 0.6666666666666666, 0.75, 0.0, 334938, 1069028
0, 70000, 1.0, 0.6666666666666666, 0.0, 434073, 1221697
0, 80000, 1.0, 0.8333333333333333, 0.0, 543914, 1369719
0, 90000, 0.6666666666666666, 0.75, 0.0, 662418, 1511284
0, 100000, 1.0, 0.75, 0.0, 789472, 1648290
1, 10000, 0.0, 0.0, 0.0, 18973, 201824
1, 20000, 0.3333333333333333, 0.25, 0.0, 54456, 392014
1, 30000, 0.3333333333333333, 0.3333333333333333, 0.0, 105498, 574228
1, 40000, 0.0, 0.5, 0.0, 169852, 746498
1, 50000, 0.6666666666666666, 1.0, 0.0, 246383, 911004
1, 60000, 1.0, 0.5, 0.0, 334104, 1068906
1, 70000, 1.0, 0.75, 0.0, 433302, 1221572
1, 80000, 1.0, 0.9166666666666666, 0.0, 542904, 1369173
1, 90000, 1.0, 0.9166666666666666, 0.0, 662564, 1512646
1, 100000, 1.0, 0.8333333333333333, 0.0, 789302, 1649001
2, 10000, 0.0, 0.0, 0.0, 19140, 202209
2, 20000, 0.0, 0.0, 0.0, 54908, 393974
2, 30000, 0.0, 0.16666666666666666, 0.0, 106125, 575853
2, 40000, 1.0, 0.49999999999999994, 0.0, 171000, 749887
2, 50000, 0.3333333333333333, 0.0, 0.0, 248551, 917123
2, 60000, 0.6666666666666666, 0.49999999999999994, 0.0, 337807, 1076897
2, 70000, 0.6666666666666666, 0.6666666666666666, 0.0, 438203, 1231850
2, 80000, 1.0, 0.9166666666666666, 0.0, 546011, 1376698
2, 90000, 0.3333333333333333, 0.9166666666666666, 0.0, 664759, 1518735
2, 100000, 1.0, 0.8333333333333334, 0.0, 792761, 1656891
3, 10000, 0.0, 0.0, 0.0, 18955, 202204
3, 20000, 0.0, 0.0, 0.0, 54760, 394382
3, 30000, 0.0, 0.08333333333333333, 0.0, 106038, 577992
3, 40000, 0.0, 0.3333333333333333, 0.0, 171068, 752858
3, 50000, 0.0, 0.16666666666666666, 0.0, 248122, 918583
3, 60000, 1.0, 0.75, 0.0, 337517, 1079328
3, 70000, 1.0, 1.0, 0.0, 437144, 1232955
3, 80000, 0.6666666666666666, 0.9166666666666666, 0.0, 547436, 1381366
3, 90000, 1.0, 1.0, 0.0, 668770, 1526699
3, 100000, 0.0, 0.9166666666666666, 0.0, 798779, 1667156
4, 10000, 0.0, 0.0, 0.0, 19116, 201241
4, 20000, 0.0, 0.0, 0.0, 55217, 393745
4, 30000, 0.3333333333333333, 0.25, 0.0, 105662, 574634
4, 40000, 0.6666666666666666, 0.5, 0.0, 171260, 750682
4, 50000, 0.3333333333333333, 0.7499999999999999, 0.0, 248554, 917151
4, 60000, 0.3333333333333333, 0.41666666666666663, 0.0, 337621, 1077084
4, 70000, 0.3333333333333333, 0.41666666666666663, 0.0, 438488, 1232224
4, 80000, 1.0, 1.0, 0.0, 547994, 1379412
4, 90000, 1.0, 0.8333333333333334, 0.0, 666847, 1521656
4, 100000, 1.0, 1.0, 0.0, 799454, 1665153
5, 10000, 0.0, 0.0, 0.0, 19031, 201943
5, 20000, 0.0, 0.0, 0.0, 54698, 393711
5, 30000, 0.0, 0.08333333333333333, 0.0, 105224, 574416
5, 40000, 0.6666666666666666, 0.25, 0.0, 169596, 747284
5, 50000, 0.3333333333333333, 0.3333333333333333, 0.0, 247010, 913359
5, 60000, 0.6666666666666666, 0.49999999999999994, 0.0, 336332, 1073618
5, 70000, 1.0, 0.8333333333333333, 0.0, 435947, 1227136
5, 80000, 1.0, 0.8333333333333333, 0.0, 547590, 1377665
