controllers.TD.ntuple2.TDNTuple2Agt, USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.2, AFTERSTATE:false, learnFromRM: false

run, gameNum, evalQ, evalT, evalM, actionNum
0, 10000, 0.0, 0.0, 0.0, 18872
0, 20000, 0.0, 0.25, 0.0, 54311
0, 30000, 0.6666666666666666, 0.25, 0.0, 103664
0, 40000, 0.6666666666666666, 0.5833333333333334, 0.0, 166401
0, 50000, 1.0, 0.6666666666666666, 0.0, 240655
0, 60000, 0.6666666666666666, 0.8333333333333333, 0.0, 325829
0, 70000, 1.0, 0.75, 0.0, 421251
0, 80000, 1.0, 1.0, 0.0, 526958
0, 90000, 1.0, 1.0, 0.0, 642595
0, 100000, 1.0, 0.9166666666666666, 0.0, 770899
1, 10000, 0.0, 0.0, 0.0, 18911
1, 20000, 1.0, 0.25, 0.0, 54205
1, 30000, 0.6666666666666666, 0.25, 0.0, 104124
1, 40000, 1.0, 0.6666666666666666, 0.0, 167019
1, 50000, 1.0, 0.75, 0.0, 242259
1, 60000, 1.0, 1.0, 0.0, 327504
1, 70000, 1.0, 1.0, 0.0, 422785
1, 80000, 1.0, 1.0, 0.0, 529003
1, 90000, 1.0, 0.8333333333333334, 0.0, 643192
1, 100000, 1.0, 0.9166666666666666, 0.0, 764098
2, 10000, 0.0, 0.0, 0.0, 18951
2, 20000, 0.0, 0.0, 0.0, 54406
2, 30000, 0.6666666666666666, 0.5, 0.0, 104527
2, 40000, 0.6666666666666666, 0.8333333333333334, 0.0, 167536
2, 50000, 0.3333333333333333, 0.75, 0.0, 242644
2, 60000, 1.0, 0.9166666666666666, 0.0, 328560
2, 70000, 1.0, 1.0, 0.0, 423818
2, 80000, 1.0, 0.6666666666666666, 0.0, 529014
2, 90000, 1.0, 0.9166666666666666, 0.0, 642574
2, 100000, 1.0, 0.8333333333333334, 0.0, 763728
3, 10000, 0.0, 0.0, 0.0, 19122
3, 20000, 0.0, 0.0, 0.0, 54690
3, 30000, 0.0, 0.75, 0.0, 104859
3, 40000, 0.3333333333333333, 0.75, 0.0, 167873
3, 50000, 0.6666666666666666, 0.8333333333333333, 0.0, 242935
3, 60000, 1.0, 0.5833333333333334, 0.0, 329512
3, 70000, 1.0, 0.9166666666666666, 0.0, 427862
3, 80000, 1.0, 1.0, 0.0, 536927
3, 90000, 1.0, 0.9166666666666666, 0.0, 656078
3, 100000, 1.0, 0.9166666666666666, 0.0, 784386
4, 10000, 0.3333333333333333, 0.16666666666666666, 0.0, 18924
4, 20000, 0.3333333333333333, 0.16666666666666666, 0.0, 54555
4, 30000, 1.0, 0.5833333333333333, 0.0, 104449
4, 40000, 0.3333333333333333, 0.6666666666666666, 0.0, 167369
4, 50000, 1.0, 0.6666666666666666, 0.0, 242228
4, 60000, 0.6666666666666666, 0.6666666666666666, 0.0, 328399
4, 70000, 1.0, 0.9166666666666666, 0.0, 425295
4, 80000, 1.0, 0.9166666666666666, 0.0, 533918
4, 90000, 1.0, 0.9166666666666666, 0.0, 654217
4, 100000, 1.0, 1.0, 0.0, 787766
5, 10000, 0.0, 0.0, 0.0, 19073
5, 20000, 0.0, 0.0, 0.0, 54323
5, 30000, 0.6666666666666666, 0.08333333333333333, 0.0, 103965
5, 40000, 1.0, 0.75, 0.0, 166974
5, 50000, 0.3333333333333333, 0.5833333333333333, 0.0, 242648
5, 60000, 1.0, 1.0, 0.0, 330081
5, 70000, 1.0, 1.0, 0.0, 428104
5, 80000, 1.0, 0.8333333333333333, 0.0, 537105
5, 90000, 1.0, 1.0, 0.0, 655913
5, 100000, 1.0, 1.0, 0.0, 793468
6, 10000, 0.0, 0.0, 0.0, 19093
6, 20000, 0.3333333333333333, 0.3333333333333333, 0.0, 54442
6, 30000, 1.0, 0.5833333333333334, 0.0, 104596
6, 40000, 0.6666666666666666, 0.5, 0.0, 167270
6, 50000, 1.0, 0.5833333333333333, 0.0, 241419
6, 60000, 1.0, 0.8333333333333333, 0.0, 327531
6, 70000, 1.0, 0.9166666666666666, 0.0, 424612
6, 80000, 1.0, 0.8333333333333333, 0.0, 533712
6, 90000, 1.0, 0.9166666666666666, 0.0, 652698
6, 100000, 1.0, 0.9166666666666666, 0.0, 786493
7, 10000, 0.0, 0.0, 0.0, 19046
