TDNTuple4Agt: USESYM:false, P:7, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 60 7-tuple, evalQ: 1, evalT: -1
agtFile, run, competeNum, dEdax, iterMWrap, EPS, p_MWrap, c_puct, winrate, pTwist, user2
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 1.0, 6.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.975, 7.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.88, 8.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.845, 9.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.8200000000000001, 10.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.765, 11.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.725, 12.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 0, 1.0E-8, 0, 10.0, 0.755, 13.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.995, 3.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.99, 4.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.97, 5.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.97, 6.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.945, 7.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.86, 8.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.765, 9.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.7150000000000001, 10.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.685, 11.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.635, 12.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 50, 1.0E-8, 0, 10.0, 0.6699999999999999, 13.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 1.0, 6.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.99, 7.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.975, 8.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.945, 9.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.95, 10.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.935, 11.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.895, 12.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 100, 1.0E-8, 0, 10.0, 0.895, 13.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 1.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 2.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 3.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 4.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 5.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 6.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 1.0, 7.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 0.995, 8.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 0.995, 9.0, 0.0
TCL4-p13-3000k-60-7t.agt.zip, 0, 1, 0, 200, 1.0E-8, 0, 10.0, 0.99, 10.0, 0.0
