TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;1308657.32;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;15 days (!);;
from: multiEval/TCL4-p13-ET16-3000k-120-7t-nsym24_01.agt.zip;;;;;;;;;;
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;22;22;0;0;0.532;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;22;22;0.005;0;31.274;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;22;22;0.015;0;66.913;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;22;22;0.025;0;153.943;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;22;22;0.03;0;365.047;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;22;22;0.035;0;736.272;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;23;23;0;0;0.532;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;23;23;0;0;31.143;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;23;23;0;0;67.886;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;23;23;0.025;0;149.975;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;23;23;0.015;0;352.864;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;23;23;0.01;0;754.014;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;24;24;0;0;0.54;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;24;24;0;0;31.858;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;24;24;0.005;0;68.434;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;24;24;0.005;0;155.528;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;24;24;0.01;0;359.252;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;24;24;0.015;0;757.586;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;25;25;0;0;0.537;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;25;25;0;0;31.563;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;25;25;0;0;68.408;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;25;25;0.005;0;155.46;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;25;25;0.005;0;358.877;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;25;25;0;0;752.599;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;26;26;0;0;0.546;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;26;26;0;0;31.953;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;26;26;0;0;69.32;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;26;26;0.01;0;156.793;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;26;26;0;0;359.996;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;26;26;0.005;0;783.455;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;14;14;0.13;0;5.063;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;14;14;0.31;0;169.448;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;14;14;0.435;0;279.572;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;14;14;0.455;0;554.525;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;14;14;0.45;0;1142.631;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;14;14;0.58;0;1792.139;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;15;15;0.155;0;4.475;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;15;15;0.245;0;188.507;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;15;15;0.3;0;346.403;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;15;15;0.315;0;694.454;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;15;15;0.485;0;1117.471;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;15;15;0.435;0;2389.048;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;16;16;0.09;0;4.703;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;16;16;0.18;0;203.116;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;16;16;0.26;0;362.632;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;16;16;0.255;0;738.422;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;16;16;0.285;0;1461.497;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;16;16;0.32;0;2834.088;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;17;17;0.04;0;4.797;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;17;17;0.14;0;209.69;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;17;17;0.145;0;413.012;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;17;17;0.175;0;824.438;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;17;17;0.185;0;1666.506;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;17;17;0.26;0;3104.274;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;18;18;0.045;0;4.777;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;18;18;0.095;0;215.908;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;18;18;0.14;0;413.852;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;18;18;0.115;0;865.194;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;18;18;0.15;0;1704.926;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;18;18;0.19;0;3319.072;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;19;19;0.01;0;5.295;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;19;19;0.065;0;226.593;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;19;19;0.08;0;441.415;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;19;19;0.105;0;875.716;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;19;19;0.155;0;1705.801;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;19;19;0.115;0;3636.149;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;20;20;0.005;0;5.592;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;20;20;0.03;0;231.83;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;20;20;0.045;0;454.005;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;20;20;0.05;0;932.086;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;20;20;0.07;0;1870.8;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;20;20;0.115;0;3600.422;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;21;21;0.015;0;5.137;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;21;21;0.035;0;234.756;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;21;21;0.06;0;457.089;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;21;21;0.04;0;940.827;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;21;21;0.035;0;1941.295;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;21;21;0.095;0;3716.414;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;22;22;0.005;0;4.916;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip;3000000;8;22;22;0.02;0;236.189;50;0
