TDNTuple4Agt: USESYM:false, nSym:0, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, eps_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1, stepRew: -0.04, rewPos: 1.0
agtFile; run; maxDepth; cubeSz; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 1.0; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.975; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.945; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.735; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.5700000000000001; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.45499999999999996; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.39; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 100; 1.0E-8; 0; 10.0; 0.275; 13.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.995; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.975; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.88; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.74; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.635; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.495; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.28500000000000003; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 0; 50; 3x3x3; 800; 1.0E-8; 0; 10.0; 0.235; 13.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.995; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.905; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.8; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.595; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.44499999999999995; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.36; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.28; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 1.0; 0.21499999999999997; 13.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.995; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.995; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.975; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.89; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.69; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.61; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.44999999999999996; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 100; 1.0E-8; 0; 1.0; 0.365; 13.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 1.0; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.995; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.995; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.95; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.89; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.775; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.625; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 800; 1.0E-8; 0; 1.0; 0.5; 13.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 1.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 2.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 3.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 4.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 5.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 1.0; 6.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.905; 7.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.775; 8.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.665; 9.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.45999999999999996; 10.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.365; 11.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.255; 12.0; 50.0
multiTrain2/TCL4-p13-ET16-3000k-120-7t_00.agt.zip; 1; 50; 3x3x3; 0; 1.0E-8; 0; 10.0; 0.20999999999999996; 13.0; 50.0
