TDNTuple4Agt: USESYM:false, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: 1
from: multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.18500000000000005; 0.0; 0.99; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.32999999999999996; 0.0; 83.805; 100.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 13; 13; 0.5; 0.0; 447.04; 800.0; 0.0
